,documents,lastmod,userid,metadata_visibility,eprintid,eprint_status,datestamp,place_of_pub,title,type,creators,date,uri,subjects,date_type,rev_number,ispublished,status_changed,full_text_status,publisher,divisions,dir,publication,issn,volume,corp_creators,abstract,refereed,pagerange,number,editors,pages,isbn,event_type,event_title,event_location,event_dates,pres_type,official_url,contact_email,related_url,id_number
20,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17212', 'pos': 1, 'eprintid': 4323, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'IntrConf Nov 2017 (Reposty1).pdf', 'docid': 17212, 'files': [{'fileid': 43273, 'datasetid': 'document', 'hash': '8b9fbd2cbf314dcde03bc2d0f9200ca8', 'mime_type': 'application/pdf', 'filesize': 1365515, 'objectid': 17212, 'uri': 'http://repository.lppm.unila.ac.id/id/file/43273', 'filename': 'IntrConf Nov 2017 (Reposty1).pdf', 'hash_type': 'MD5', 'mtime': '2017-11-03 03:49:00'}]}]",2017-11-03 04:14:00,442,show,4323,archive,2017-11-03 04:14:00,,CORN PEASENTS EMPOWERMENT THROUGH ENHANCING ENTREPRENEURIAL COMPETENCE IN THE DISTRICT  GROBOGAN CENTRAL  OF JAVA,conference_item,"[{'name': {'lineage': None, 'family': 'Syarief', 'honourific': None, 'given': 'Yuniar Aviati'}, 'id': 'yuniarafiati@yahoo.com'}]",2017-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4323,['S1'],published,7,pub,2017-11-03 04:14:00,public,,['FP26'],disk0/00/00/43/23,,,,,"Central Of Java Province is the 2nd corn producer in Indonesia, but the empirical still exist problems in the farming of corn, among others, the level of productivity of corn an average of 4.99 tonnes / ha, under potential productivity between 7-8 tonnes / ha for type land in  Province. It identifies the low productivity of corn peasents competence in the management of farming has not been optimal. Besides moisture corn by KA 35% - 40%, indicating that the competence of peasents in post-harvest handling is still less so that peasents can not meet the standards prescribed by the feed mill the water content of a maximum of 14%. Corn peasents in Central Of Javaare currently at 80 percent have yet to implement appropriate post-harvest technologies applicable standards (Soefian, 2014). Corn cultivation requires human resources (HR) peasents who have entrepreneurial competencies that peasents in addition to master the knowledge and insight into the techniques of cultivation and also had managerial competence as a reliable farmer.  Peasents who have a positive competence make it as a farmer creative and innovative as an entrepreneur in the field of agriculture. This study used a qualitative research with the number of sources by 25 votes corn peasents. The study was conducted in June-August Month Year 2017. The results found that corn growers in South Central Of Javaregency have a moderate level of competence, meaning the technical ability in corn cultivation has average productivity 6-7 ton / ha, is already doing diversification farming corn, corn farming has been able to manage an area of 4-8 hectares, and is able to seize opportunities corn farming in accordance with market demand. The results showed also that the corn growers in Grobogan regency have 4 types namely the type of technical entrepreneurial competencies, futuristic type, types of managerial and universal type. Factors that influence the entrepreneurial competence corn growers that formal education, motivation, peasents' participation in social institutions in society, access to information and learning processes in education.
Key words: Peasents, entrepreneurship, competencies, corn",TRUE,107-118,,,,,conference,"1St. International Conference on Social Sciences: Toward Community, Environmental,and Sustainable Development and",Jakarta,1-2 November 2017,speech,,,,
21,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'repository.pdf', 'docid': 17084, 'files': [{'hash': 'd6b17c6269cda0c0d693aef5ed3b2f4d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 42368, 'filename': 'repository.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/42368', 'filesize': 70912, 'objectid': 17084, 'mtime': '2017-10-30 22:57:35', 'hash_type': 'MD5'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17084', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 4189}]",2017-11-10 14:08:28,442,show,4189,archive,2017-11-10 14:08:28,,ECONOMIC COMMUNITY EMPOWERMENT BASED ON MANGROVE FOREST CONSERVATION IN EAST LAMPUNG,conference_item,"[{'id': 'yuniarafiati@yahoo.com', 'name': {'given': 'Yuniar Aviati', 'honourific': None, 'lineage': None, 'family': 'Syarief'}}]",2017-07-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4189,['S1'],,7,pub,2017-11-10 14:08:28,public,,['FP26'],disk0/00/00/41/89,,,,,"The economic empowerment of rural community surrounding mangrove should consider 4 main aspects: mangrove forest ecosystem conservation, community business’ techno-economic, community organization and institution, and infrastructure aspects. Economic community empowerment can develop along with the conservation of mangrove forest from damage through mangrove forest-based business or utilizing mangrove forest potency itself.  
The objective of research was to find the attempts that can empower the community economy based on mangrove forest conservation. The research method employed was qualitative one and the data was elaborated descriptively. This study also conducted action research to examine the business opportunity that could be developed by the people surrounding mangrove forest and to find out the community’s ability of managing the business. 
The result of research found that the rural community economic empowerment based on mangrove forest could be done through duck breeding, terasi (condiment) production, honey bee breeding, mangrove crab, and non-wood mangrove forest produces including syrup made of pidada tree fruit. 

Key words: rural, empowerment, community, mangrove",TRUE,1-8,,,,,conference,The 5th International Conference On Education and Social Science,"Semarang, Jawa Tengah",26-27 Juli 2017,speech,,,,
22,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Repository.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2017-10-31 03:17:15', 'filesize': 2079744, 'objectid': 17092, 'uri': 'http://repository.lppm.unila.ac.id/id/file/42441', 'filename': 'Repository.pdf', 'fileid': 42441, 'datasetid': 'document', 'hash': 'ce6d1dc9616e6e837dda9028aca1cc3e', 'mime_type': 'application/pdf'}], 'docid': 17092, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17092', 'security': 'public', 'placement': 1, 'eprintid': 4199}]",2017-11-10 14:08:38,442,show,4199,archive,2017-11-10 14:08:38,,ECONOMIC COMMUNITY EMPOWERMENT BASED ON MANGROVE FOREST CONSERVATION IN EAST LAMPUNG,conference_item,"[{'id': 'yuniarafiati@yahoo.com', 'name': {'given': 'Yuniar Aviati', 'lineage': None, 'family': 'Syarief', 'honourific': None}}]",2017-07-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4199,['S1'],,7,pub,2017-11-10 14:08:38,public,,['FP26'],disk0/00/00/41/99,,,,,"The economic empowerment of rural community surrounding mangrove should consider 4 main aspects: mangrove forest ecosystem conservation, community business’ techno-economic, community organization and institution, and infrastructure aspects. Economic community empowerment can develop along with the conservation of mangrove forest from damage through mangrove forest-based business or utilizing mangrove forest potency itself.  
The objective of research was to find the attempts that can empower the community economy based on mangrove forest conservation. The research method employed was qualitative one and the data was elaborated descriptively. This study also conducted action research to examine the business opportunity that could be developed by the people surrounding mangrove forest and to find out the community’s ability of managing the business. 
The result of research found that the rural community economic empowerment based on mangrove forest could be done through duck breeding, terasi (condiment) production, honey bee breeding, mangrove crab, and non-wood mangrove forest produces including syrup made of pidada tree fruit. 

Key words: rural, empowerment, community, mangrove",TRUE,1-10,,,,,conference,5th international conference on Education and Social Sciences,"Semarang, Jawa Tengah",26-27 Juli 2017,speech,,,,
23,"[{'docid': 17213, 'main': 'IntConfrc UNNES 2017 (Repo1).pdf', 'files': [{'fileid': 43302, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '9afb442fb52f2360311daf9c33d50829', 'hash_type': 'MD5', 'mtime': '2017-11-03 03:59:10', 'objectid': 17213, 'filesize': 1722735, 'filename': 'IntConfrc UNNES 2017 (Repo1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/43302'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 4326, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17213', 'security': 'public'}]",2017-11-03 04:14:10,442,show,4326,archive,2017-11-03 04:14:10,,ECONOMIC COMMUNITY EMPOWERMENT BASED ON MANGROVE FOREST CONSERVATION IN EAST LAMPUNG,conference_item,"[{'id': 'yuniarafiati@yahoo.com', 'name': {'lineage': None, 'family': 'Syarief', 'honourific': None, 'given': 'Yuniar Aviati'}}]",2017-07-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4326,['S1'],published,7,pub,2017-11-03 04:14:10,public,,['FP26'],disk0/00/00/43/26,,,,,"The economic empowerment of rural community surrounding mangrove should consider 4 main aspects: mangrove forest ecosystem conservation, community business’ techno-economic, community organization and institution, and infrastructure aspects. Economic community empowerment can develop along with the conservation of mangrove forest from damage through mangrove forest-based business or utilizing mangrove forest potency itself.  
The objective of research was to find the attempts that can empower the community economy based on mangrove forest conservation. The research method employed was qualitative one and the data was elaborated descriptively. This study also conducted action research to examine the business opportunity that could be developed by the people surrounding mangrove forest and to find out the community’s ability of managing the business. 
The result of research found that the rural community economic empowerment based on mangrove forest could be done through duck breeding, terasi (condiment) production, honey bee breeding, mangrove crab, and non-wood mangrove forest produces including syrup made of pidada tree fruit. 

Key words: rural, empowerment, community, mangrove",TRUE,632-641,,,,,conference,International Conference: The  Asia Network,"Semarang, Jawa Tengah",26-27 Juli 2017,speech,,,,
24,"[{'eprintid': 4835, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17756', 'pos': 1, 'format': 'text', 'main': 'Prosiding UNNES 2017.pdf', 'files': [{'hash': '871c3cd793af56badba0f5e5fdc5aee5', 'mime_type': 'application/pdf', 'fileid': 47024, 'datasetid': 'document', 'mtime': '2017-11-07 23:22:01', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/47024', 'filename': 'Prosiding UNNES 2017.pdf', 'filesize': 1840988, 'objectid': 17756}], 'docid': 17756, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2017-11-16 03:28:52,442,show,4835,archive,2017-11-16 03:28:52,,ECONOMIC COMMUNITY EMPOWERMENT BASED ON MANGROVE FOREST CONSERVATION IN EAST LAMPUNG,article,"[{'id': 'yuniarafiati@yahoo.com', 'name': {'given': 'Yuniar Aviati', 'honourific': None, 'lineage': None, 'family': 'Syarief'}}]",2017-07-27 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4835,['S1'],published,6,pub,2017-11-16 03:28:52,public,UNNES and APIRF,['FP26'],disk0/00/00/48/35,Proceeding International Conference: The Asia Network,978-602-14696-7-5,1.0,,"The economic empowerment of rural community surrounding mangrove should consider 4 main aspects: mangrove forest ecosystem conservation, community business’ techno-economic, community organization and institution, and infrastructure aspects. Economic community empowerment can develop along with the conservation of mangrove forest from damage through mangrove forest-based business or utilizing mangrove forest potency itself.  
The objective of research was to find the attempts that can empower the community economy based on mangrove forest conservation. The research method employed was qualitative one and the data was elaborated descriptively. This study also conducted action research to examine the business opportunity that could be developed by the people surrounding mangrove forest and to find out the community’s ability of managing the business. 
The result of research found that the rural community economic empowerment based on mangrove forest could be done through duck breeding, terasi (condiment) production, honey bee breeding, mangrove crab, and non-wood mangrove forest produces including syrup made of pidada tree fruit. 

Key words: rural, empowerment, community, mangrove",TRUE,632-643,1.0,,,,,,,,,,,,
25,"[{'eprintid': 4188, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17083', 'pos': 1, 'format': 'text', 'docid': 17083, 'main': 'makalah repository.pdf', 'files': [{'filename': 'makalah repository.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/42360', 'filesize': 188769, 'objectid': 17083, 'mtime': '2017-10-30 22:33:37', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'ce354683f013b1626419923cd743b63d', 'fileid': 42360, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2017-10-31 01:28:45,442,show,4188,archive,2017-10-31 01:28:45,,FARMER’S PARTICIPATION	IN SPECIAL EFFORT PROGRAM TO INCREASE THE RICE PRODUCTION AND FOOD SECURITY LEVEL OF THE PADDY FARMERS HOUSEHOLD IN SEPUTIH RAMAN SUBDISTRICT OF CENTRAL LAMPUNG REGENCY,conference_item,"[{'name': {'honourific': None, 'family': 'Syarief', 'lineage': None, 'given': 'Yuniar Aviati'}, 'id': 'yuniarafiati@yahoo.com'}]",2017-08-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4188,['S1'],,8,unpub,2017-10-31 01:28:45,public,,['FP26'],disk0/00/00/41/88,,,,,"The objectives of this study were: 1) to study the participation of paddy farmers in the Special Effort program to increase paddy production, 2) to study the level of household food resilience of paddy farmers, and 3) to analyze the correlation between farmers participation and food security level of paddy farmers. The location was chosen purposively in Seputih Raman sub-district. The data were collected from December 2016 to February 2017. The population of this study was paddy farmers participating in Special Effort program. The hypothesis tested by using Rank Spearman correlation test (Siegel 2011). Farmers household food security measured objectively based on the share of household’s food expenditure and subjectively based on the opinion, views, and attitudes or farmers’ opinions on food availability, food distribution, and household food consumption. In this research found that: 1) Farmers participation in Special Effort program in Seputih Raman Sub Ditrict, Central Lampung Regency belonged to medium classification, 2) household food security either objectively or subjectively was in food resistant condition of medium classification, and 3) there was real correlation between farmers participation and food security level of paddy farmers household.
Keywords : food security, special effort program, participation",TRUE,1-5,,,,,conference,"The 4th International Conference on Sustainable Agriculture and Environment , Surakarta 10-12 Agustus 2017","Surakarta, Jawa Tengah",10-12 Agustus 2017,speech,,,,
26,"[{'eprintid': 7740, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20788', 'format': 'text', 'main': 'semnas unila repository.pdf', 'files': [{'datasetid': 'document', 'fileid': 69449, 'mime_type': 'application/pdf', 'hash': '81580e9b0e00dd20e2112511a9240fc1', 'hash_type': 'MD5', 'mtime': '2018-06-25 08:59:49', 'filesize': 1166434, 'objectid': 20788, 'uri': 'http://repository.lppm.unila.ac.id/id/file/69449', 'filename': 'semnas unila repository.pdf'}], 'docid': 20788, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2018-06-26 02:47:21,442,show,7740,archive,2018-06-26 02:47:21,,"PENINGKATAN MANAJEMEN USAHA BERBASIS HASIL
HUTAN MANGROVE NON KAYU DI DESA MARGASARI
KECAMATAN LABUHAN MARINGGAI
KABUPATEN LAMPUNG TIMUR",conference_item,"[{'name': {'given': 'Yuniar Aviati', 'lineage': None, 'family': 'Syarief', 'honourific': None}, 'id': 'yuniarafiati@yahoo.com'}]",2017-11-04 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/7740,['SD'],,7,unpub,2018-06-26 02:47:21,public,,['FP26'],disk0/00/00/77/40,,,,,"Kompetensi kewirausahaan merupakan kunci untuk meningkatkan kapasitas masyarakat
sekaligus meningkatkan ekonomi suatu masyarakat (Syarief, 2015). Desa Margasari memiliki hutan mangrove
seluas ±1.000 Ha yang berpotensi sebagai sumber ekonomi masyarakat di sekitar hutan mangrove. Berbagai
usaha yang dapat dikembangkan melalui pemanfaatan non kayu hutan mangrove antara lain; sirup dari buah
Pidada, kerupuk dan peyek dari daun Deruju, dan lain-lain. Untuk memiliki kemampuan mengelola usaha
makanan yang berbasis hutan mangrove maka masyarakat harus memiliki kemampuan untuk mengolah produk
makanan tersebut secara baik, higienis, dan tetap menjaga kelestarian hutan mangrove. Masyarakat yang tinggal
di sekitar hutan mangrove dapat mengembangkan usaha berbasis hasil non kayu hutan mangrove harus memiliki
kompetensi kewirausahaan agar menjadi wirausahan yang tangguh dan handal. Dalam rangka mencapai tujuan
tersebut di atas dilakukan pengabdian kepada masyarakat melalui kegiatan pendampingan dan praktek usaha
bagi masyarakat di sekitar hutan mangrove. Kegiatan pengabdian kepada masyaraka yang telah dilakukan
antara lain pelatihan dan pendampingan pembukuan dan keuangan usaha mikro, pendampingan/pelatihan
Sertifikasi Halal dari LPPOM MUI, praktek pembuatan produk olahan berbasis hasil non kayu hutan mangrove.
Hasil pelatihan dan pendampingan kepada masyarakat yaitu adanya pembukuan dan keuangan yang tertib,
kelompok telah mengikuti pelatihan untuk Sertifikat Halal di LPPOM MUI, dan adanya prosedur pembuatan
sirup dari buah Pidada, kue bawang dan peyek dari daun Deruju.",TRUE,1-5,,,,,conference,Seminar Nasional Pengabdian kepada Masyarakat Universitas Lampung,Bandar Lampung,4 November 2017,speech,,,,
27,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 42375, 'mime_type': 'application/pdf', 'hash': '52e929936eb05c35420a964846526b13', 'hash_type': 'MD5', 'mtime': '2017-10-30 23:11:19', 'filesize': 86236, 'objectid': 17085, 'filename': 'repository.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/42375'}], 'main': 'repository.pdf', 'docid': 17085, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17085', 'eprintid': 4190, 'placement': 1}]",2017-11-10 14:08:33,442,show,4190,archive,2017-11-10 14:08:33,,PERAN PERGURUAN TINGGI DALAM PEMBERDAYAAN  KAPASITAS  KOMPETENSI KEWIRAUSAHAAN PETANI JAGUNG DI KABUPATEN GROBOGAN JAWA TENGAH,conference_item,"[{'name': {'honourific': None, 'family': 'Syarief', 'lineage': None, 'given': 'Yuniar Aviati'}, 'id': 'yuniarafiati@yahoo.com'}]",2017-10-25 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4190,['S1'],,7,pub,2017-11-10 14:08:33,public,,['FP26'],disk0/00/00/41/90,,,,,"Budidaya jagung  memerlukan sumberdaya manusia (SDM) petani yang memiliki kompetensi kewirausahaan yaitu petani selain menguasai pengetahuan dan wawasan tentang teknik budidaya dan manajerial juga memiliki kompetensi sebagai seorang petani handal. Petani yang memiliki kompetensi kewirausahaan yang tinggi  akan menjadikannya sebagai seorang petani yang kreatif dan inovatif  di bidang pertanian.  Penelitian ini menggunakan penelitian kualitatif dengan jumlah nara sumber sebanyak 30 orang petani jagung.  Penelitian dilakukan pada Bulan Juni-Agustus Tahun 2017.  Hasil penelitian mendapatkan bahwa petani jagung di Kabupaten Grobogan memiliki tingkat kompetensi yang sedang, artinya kemampuan dalam teknis budidaya jagung memiliki produktivitas rata-rata 6-7 ton/ha, sudah melakukan diversivifikasi usahatani jagung, memiliki daya kreatifitas yang tinggi dan mampu menangkap peluang usahatani jagung sesuai dengan permintaan pasar.  Hasil penelitian menunjukkan juga bahwa petani jagung di Kabupaten Grobogan memiliki 4 tipe kompetensi kewirausahaan yaitu tipe teknikal, tipe futuristik, tipe manajerial dan tipe universal. Peran Perguruan Tinggi pemberdayaan kapasitas kompetensi kewirausahaan petani jagung dapat dilakukan melalui tiga fase pemberdayaan yaitu fase satu; peningkatan Sumber Daya Manusia, teknologi dan kelembagaan di tingkat kelompok tani, fase kedua; penguatan kelembagaan guna mempersiapkan kemitraan dengan stakeholder lainnya, fase ketiga; penguatan teknologi modern pengolahan hasil dan menumbuhkembangkan kemitraan dengan seluruh stakeholder yang  terkait dengan jagung.

Kata Kunci: Kompetensi, Kewirausahaan, Pemberdayaan, Petani, Grobogan",TRUE,1-11,,,,,other,Seminar Nasional Penelitian dan Pengabdian Kepada Masyarakat 2017,Bandar Lampung,25 Oktober 2017,speech,,,,
28,"[{'eprintid': 4319, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17209', 'pos': 1, 'format': 'text', 'docid': 17209, 'main': 'SemNas 2017 (repostry).pdf', 'files': [{'datasetid': 'document', 'fileid': 43253, 'hash': '9fd9ec5198dee16108629f01abb09f20', 'mime_type': 'application/pdf', 'objectid': 17209, 'filesize': 2289098, 'filename': 'SemNas 2017 (repostry).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/43253', 'hash_type': 'MD5', 'mtime': '2017-11-03 03:40:30'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2017-11-03 04:13:50,442,show,4319,archive,2017-11-03 04:13:50,,PERAN PERGURUAN TINGGI DALAM PEMBERDAYAAN  KAPASITAS  KOMPETENSI KEWIRAUSAHAAN PETANI JAGUNG DI KABUPATEN GROBOGAN JAWA TENGAH,conference_item,"[{'id': 'yuniarafiati@yahoo.com', 'name': {'honourific': None, 'family': 'Syarief', 'lineage': None, 'given': 'Yuniar Aviati'}}]",2017-10-25 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4319,['S1'],,7,pub,2017-11-03 04:13:50,public,,['FP26'],disk0/00/00/43/19,,,,,"Budidaya jagung  memerlukan sumberdaya manusia (SDM) petani yang memiliki kompetensi kewirausahaan yaitu petani selain menguasai pengetahuan dan wawasan tentang teknik budidaya dan manajerial juga memiliki kompetensi sebagai seorang petani handal. Petani yang memiliki kompetensi kewirausahaan yang tinggi  akan menjadikannya sebagai seorang petani yang kreatif dan inovatif  di bidang pertanian.  Penelitian ini menggunakan penelitian kualitatif dengan jumlah nara sumber sebanyak 30 orang petani jagung.  Penelitian dilakukan pada Bulan Juni-Agustus Tahun 2017.  Hasil penelitian mendapatkan bahwa petani jagung di Kabupaten Grobogan memiliki tingkat kompetensi yang sedang, artinya kemampuan dalam teknis budidaya jagung memiliki produktivitas rata-rata 6-7 ton/ha, sudah melakukan diversivifikasi usahatani jagung, memiliki daya kreatifitas yang tinggi dan mampu menangkap peluang usahatani jagung sesuai dengan permintaan pasar.  Hasil penelitian menunjukkan juga bahwa petani jagung di Kabupaten Grobogan memiliki 4 tipe kompetensi kewirausahaan yaitu tipe teknikal, tipe futuristik, tipe manajerial dan tipe universal. Peran Perguruan Tinggi pemberdayaan kapasitas kompetensi kewirausahaan petani jagung dapat dilakukan melalui tiga fase pemberdayaan yaitu fase satu; peningkatan Sumber Daya Manusia, teknologi dan kelembagaan di tingkat kelompok tani, fase kedua; penguatan kelembagaan guna mempersiapkan kemitraan dengan stakeholder lainnya, fase ketiga; penguatan teknologi modern pengolahan hasil dan menumbuhkembangkan kemitraan dengan seluruh stakeholder yang  terkait dengan jagung.

Kata Kunci: Kompetensi, Kewirausahaan, Pemberdayaan, Petani, Grobogan",TRUE,9-22,,,,,other,Seminar Nasional Darmajaya,Bandar Lampung,25 Oktober 2017,speech,,,,
29,"[{'eprintid': 4834, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17755', 'format': 'text', 'main': 'semnas okt 2017.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2017-11-07 23:06:53', 'objectid': 17755, 'filesize': 1869578, 'uri': 'http://repository.lppm.unila.ac.id/id/file/47018', 'filename': 'semnas okt 2017.pdf', 'fileid': 47018, 'datasetid': 'document', 'hash': 'b7b69903c3837004dcf657a9becc3bc8', 'mime_type': 'application/pdf'}], 'docid': 17755, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2017-11-16 03:28:41,442,show,4834,archive,2017-11-16 03:28:41,,PERAN PERGURUAN TINGGI DALAM PEMBERDAYAAN  KAPASITAS  KOMPETENSI KEWIRAUSAHAAN PETANI JAGUNG DI KABUPATEN GROBOGAN JAWA TENGAH,article,"[{'id': 'yuniarafiati@yahoo.com', 'name': {'honourific': None, 'family': 'Syarief', 'lineage': None, 'given': 'Yuniar Aviati'}}]",2017-10-25 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4834,['S1'],published,6,pub,2017-11-16 03:28:41,public,LP4M Darmajaya,['FP26'],disk0/00/00/48/34,Prosiding Seminar Nasional Darmajaya,2598-0245,1.0,,"Budidaya jagung  memerlukan sumberdaya manusia (SDM) petani yang memiliki kompetensi kewirausahaan yaitu petani selain menguasai pengetahuan dan wawasan tentang teknik budidaya dan manajerial juga memiliki kompetensi sebagai seorang petani handal. Petani yang memiliki kompetensi kewirausahaan yang tinggi  akan menjadikannya sebagai seorang petani yang kreatif dan inovatif  di bidang pertanian.  Penelitian ini menggunakan penelitian kualitatif dengan jumlah nara sumber sebanyak 30 orang petani jagung.  Penelitian dilakukan pada Bulan Juni-Agustus Tahun 2017.  Hasil penelitian mendapatkan bahwa petani jagung di Kabupaten Grobogan memiliki tingkat kompetensi yang sedang, artinya kemampuan dalam teknis budidaya jagung memiliki produktivitas rata-rata 6-7 ton/ha, sudah melakukan diversivifikasi usahatani jagung, memiliki daya kreatifitas yang tinggi dan mampu menangkap peluang usahatani jagung sesuai dengan permintaan pasar.  Hasil penelitian menunjukkan juga bahwa petani jagung di Kabupaten Grobogan memiliki 4 tipe kompetensi kewirausahaan yaitu tipe teknikal, tipe futuristik, tipe manajerial dan tipe universal. Peran Perguruan Tinggi pemberdayaan kapasitas kompetensi kewirausahaan petani jagung dapat dilakukan melalui tiga fase pemberdayaan yaitu fase satu; peningkatan Sumber Daya Manusia, teknologi dan kelembagaan di tingkat kelompok tani, fase kedua; penguatan kelembagaan guna mempersiapkan kemitraan dengan stakeholder lainnya, fase ketiga; penguatan teknologi modern pengolahan hasil dan menumbuhkembangkan kemitraan dengan seluruh stakeholder yang  terkait dengan jagung.

Kata Kunci: Kompetensi, Kewirausahaan, Pemberdayaan, Petani, Grobogan",TRUE,9-22,1.0,,,,,,,,,,,,
30,"[{'format': 'archive', 'main': 'buku pengembangan kompetensi.pdf', 'docid': 20778, 'files': [{'filesize': 1860220, 'objectid': 20778, 'uri': 'http://repository.lppm.unila.ac.id/id/file/69389', 'filename': 'buku pengembangan kompetensi.pdf', 'hash_type': 'MD5', 'mtime': '2018-06-25 08:06:51', 'fileid': 69389, 'datasetid': 'document', 'hash': '0092d8296ba6f9329db953db57a6873c', 'mime_type': 'application/pdf'}], 'content': 'published', 'language': 'id', 'mime_type': 'application/pdf', 'rev_number': 5, 'eprintid': 7733, 'placement': 1, 'formatdesc': 'buku referensi', 'security': 'validuser', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20778'}]",2018-06-26 02:51:33,442,show,7733,archive,2018-06-26 02:51:33,Bandar Lampung,Pengembangan Kompetensi Kewirausahaan Bagi Petani,book,"[{'id': 'yuniarafiati@yahoo.com', 'name': {'given': 'Yuniar Aviati', 'honourific': None, 'family': 'Syarief', 'lineage': None}}]",2017-11-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/7733,['S1'],published,10,pub,2018-06-26 02:51:33,restricted,AnugrahUtama Raharja,['FP26'],disk0/00/00/77/33,,,,,"Buku berjudul “Pengembangan Kompetensi Kewiraushaan bagi Petani” ini mencoba menjelaskan, definisi, konsep, metoda, aplikasi pengukuran kompetensi kewirausahaan di dalam penelitian bidang usahatani Jagung.  Buku ini menjelaskan juga pentingnya kompetensi kewiraushaan di bidang pertanian. Hal ini dikarenakan kajian dan literatur  pada bidang ilmu penyuluhan pertanian yang meninjau usahatani dari perspektif kewirausahaan masih belum populer (Khudson et. al., 2004; Vesala dan Pysiainen, 2008;   Rougoor et al.,1998; Nuthall, 2001; Priyanto, 2010;  Bergevoet, 2005; Mardikanto, 2009).  Pada bagian akhir buku dibahas tentang, pengukuran, aplikasi dan strategi peningkatan kompetensi kewirausahaan sehingga seluruh pihak yang terkait dapat menggunakan buku ini sebagai acuan bagi literatur, kajian ilmiah, dan praktek pada pemberdayaan kepada masyarakat.",TRUE,,,,192.0,978-602-5420-36-8,,,,,,,,,
