,subjects,date_type,volume,abstract,uri,date,divisions,publisher,publication,dir,related_url,status_changed,issn,full_text_status,ispublished,rev_number,eprint_status,id_number,eprintid,datestamp,pagerange,metadata_visibility,number,userid,documents,lastmod,official_url,type,creators,refereed,title,place_of_pub,corp_creators,contributors,event_type,event_title,event_location,pres_type,event_dates,keywords,referencetext,funders,contact_email,succeeds,monograph_type,pages,isbn,editors,book_title,patent_applicant
46,['AC'],published,10,"Abstract:
As an FMCG company, Unilever Indonesia produces a green consumer product in order to reduce emissions and stabilize natural ecosystems through the Unilever Sustainable Living Plan (USLP) principles. Therefore, Unilever Indonesia applies green brand positioning to its products to have a competitive advantage in the minds of consumers. The study employed a quantitative method by distributing questionnaires and SEM analysis. The purposive sampling was used with 400 respondents. The results showed that green brand positioning, knowledge, and attitude toward green brands positively impacted green products purchase intentions. The results also indicated that a good green brand knowledge would also influence consumer attitudes towards green brands. Green brand knowledge had a positive but insignificant impact on moderating the relationship between brand positioning and green product purchase intentions. The study suggested that Unilever Indonesia could further develop green brand positioning containing the value of a green product attribute to attract many consumers leading to green purchase intention.
Keywords: Attitude toward green brands, green brand knowledge, green brand positioning, green product purchase intention, Unilever Indonesia",http://repository.lppm.unila.ac.id/id/eprint/46356,1970-01-01 00:00:00.000002022,['FEB6'],,THE INTERNATIONAL JOURNAL OF BUSINESS & MANAGEMENT,disk0/00/04/63/56,,2022-11-08 07:57:19,ISSN 2321–8916,public,pub,6,archive,,46356,2022-11-08 07:57:19,36-43,show,3,253,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185237', 'eprintid': 46356, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '169112-409480-1-SM.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-11-08 03:51:23', 'objectid': 185237, 'filesize': 446859, 'uri': 'http://repository.lppm.unila.ac.id/id/file/511852', 'filename': '169112-409480-1-SM.pdf', 'fileid': 511852, 'datasetid': 'document', 'hash': 'fe7f4228df2d0de2fb05c9b14a95ec95', 'mime_type': 'application/pdf'}], 'docid': 185237}]",2022-11-08 07:57:19,http://www.internationaljournalcorner.com/index.php/theijbm/article/view/169112/115597,article,"[{'name': {'given': 'Mahrinasari', 'family': 'Mahrinasari', 'lineage': None, 'honourific': None}, 'id': 'mahrinasari@feb.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Pandjaitan', 'lineage': None, 'given': 'Dorothy Rouly H.'}, 'id': 'dorothy_rouly@yahoo.com'}]",TRUE,"The Impact of Green Brand Positioning, Green Brand Knowledge and Attitude toward Green Brand on Green Product Purchase Intention in Unilever Products, Indonesia",,,,,,,,,,,,,,,,,,,
47,['AC'],,,"ABSTRACT:    The COVID-19 pandemic has affected various fields, including higher educationinstitutions. Changes in policies and norms cause universities to adjust to the brand equity-buildingstrategies that have been carried out. The purpose of this study was to investigate student percep-tions of the dimensions of university brand equity during the COVID-19 pandemic. This researchwas conducted at a private university in Lampung. The samples taken were 400 people with thecriteria that they had become students during the pre-pandemic, during the pandemic, and post-pandemic. The research results found a significant relationship among the dimensions of universitybrand equity (brand awareness, perceived quality, brand association, learning environment, emo-tional environment, brand trust, brand loyalty, and university reputation). Therefore, brand equitydimensions affect the student learning experience in creating a solid university brand equity.Keywords:    brand equity, university branding, higher education, marketing.",http://repository.lppm.unila.ac.id/id/eprint/46339,1970-01-01 00:00:00.000002022,['FEB6'],,,disk0/00/04/63/39,,2022-11-08 00:57:13,,public,pub,7,archive,,46339,2022-11-08 00:57:13,322-326,show,,253,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '10.1201_9781003295952-1_chapterpdf.pdf', 'docid': 185221, 'files': [{'mtime': '2022-11-07 08:41:38', 'hash_type': 'MD5', 'filename': '10.1201_9781003295952-1_chapterpdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/511740', 'filesize': 102229, 'objectid': 185221, 'mime_type': 'application/pdf', 'hash': '94ecf6dd58df6a34ba2ddfb9d43e1f1b', 'datasetid': 'document', 'fileid': 511740}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185221', 'pos': 1, 'eprintid': 46339, 'placement': 1}]",2022-11-08 00:57:13,https://doi.org/10.1201/9781003295952,conference_item,"[{'id': 'mahrinasari@feb.unila.ac.id', 'name': {'given': 'Mahrinasari', 'family': 'Mahrinasari', 'lineage': None, 'honourific': None}}, {'id': 'dorothy_rouly@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Pandjaitan', 'given': 'Dorothy Rouly H.'}}]",TRUE,Student perception on university brand equity during pandemics,,,,conference,"Proceedings of the International Seminar of Contemporary Research on Business and Management (ISCRBM 2021), 18 December 2021, Jakarta, Indonesia",,paper,,,,,,,,,,,,
48,['H1'],published,1,"The trend of increasing young and educated unemployed people is an 
indication of low entrepreneurial interest and attitudes. From the 
demand side, the unemployment rate is related to the number of job 
opportunities available in the global era. Meanwhile, from the supply 
side, the unemployment rate is a number of qualified workers in 
Indonesia. Responding to today and future business world competition 
which relies more on knowledge and intellectual capital, in order to 
become the nation's competitiveness, the development of young 
entrepreneurs needs to be directed at a group of educated (intellectual) 
young people, namely students. Entrepreneurship education has been 
developed in almost all universities in Indonesia with a very varied 
process aimed at creating entrepreneurship. This study took a 
population of all students at the University of Lampung with a total 
sample of 154 respondents. This research is included in the research 
design of a causal study that proves a causal or relationship is 
influenced and affects between entrepreneurial learning, career 
planning and entrepreneurial interests and attitudes. The results of this 
study indicate that entrepreneurship learning methods that are applied 
effectively in the university environment can affect students' interest 
in entrepreneurship. This study also shows that the existence of good 
career planning can affect student interest in entrepreneurship. 
Therefore, good entrepreneurship learning and career planning are 
needed with the aim of fostering entrepreneurial intentions in students.",http://repository.lppm.unila.ac.id/id/eprint/49251,2022-10-28 00:00:00.000000000,['FEB6'],Fakultas Ekonomi dan Bisnis Universitas Lampung,"E-journal Field of Economics,   Business, and Entrepreneurship  (EFEBE)",disk0_bak/00/04/92/51,,2023-03-27 00:55:07,2964-5697,public,pub,6,archive,,49251,2023-03-27 00:55:07,299-306,show,3,588,"[{'eprintid': 49251, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188797', 'format': 'text', 'main': '-EFEBE_Maulika_49.pdf-.pdf', 'docid': 188797, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/534996', 'filename': '-EFEBE_Maulika_49.pdf-.pdf', 'filesize': 1186475, 'objectid': 188797, 'mtime': '2023-03-26 04:15:12', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '7b291de02464f427b15475176ce1c408', 'fileid': 534996, 'datasetid': 'document'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2023-03-27 00:55:07,http://efebe.feb.unila.ac.id/index.php/efebe/article/view/49,article,"[{'id': None, 'name': {'lineage': None, 'family': 'Maulika', 'honourific': None, 'given': 'Elvira'}}, {'name': {'given': 'Habibullah', 'family': 'Jimad', 'lineage': None, 'honourific': None}, 'id': 'habibullah.jimad@gmail.com,'}, {'id': None, 'name': {'given': 'Mirwan', 'honourific': None, 'lineage': None, 'family': 'Karim'}}]",TRUE,"PENGARUH PEMBELAJARAN KEWIRAUSAHAAN DAN PERENCANAAN 
KARIR TERHADAP NIAT BERWIRAUSAHA PADA MAHASISWA",,,,,,,,,,,,,,,,,,,
49,['HD'],,,,http://repository.lppm.unila.ac.id/id/eprint/49112,1970-01-01 00:00:00.000002022,['FEB6'],Jurnal Kelitbangan,,disk0_bak/00/04/91/12,,2023-03-24 01:28:36,,restricted,pub,8,archive,,49112,2023-03-24 01:28:36,,show,,108,"[{'docid': 188555, 'main': 'Pengaruh Motivasi kerja dan Komitmen organisasi.pdf', 'files': [{'hash': '39ab5debc532d170feec5bf3528d343e', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 533858, 'uri': 'http://repository.lppm.unila.ac.id/id/file/533858', 'filename': 'Pengaruh Motivasi kerja dan Komitmen organisasi.pdf', 'objectid': 188555, 'filesize': 2897079, 'mtime': '2023-03-21 15:34:24', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'placement': 1, 'eprintid': 49112, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188555', 'formatdesc': 'Turnitin', 'security': 'validuser'}]",2023-03-24 01:28:36,,other,"[{'name': {'given': 'Rokhimatun', 'lineage': None, 'family': 'Nikmah', 'honourific': None}, 'id': 'rokhimatun17@gmail.com'}, {'id': 'umi_asra@yahoo.co.id', 'name': {'given': 'Keumala', 'lineage': None, 'family': 'Hayati', 'honourific': None}}, {'name': {'given': 'Mirwan', 'lineage': None, 'family': 'Karim', 'honourific': None}, 'id': None}]",,"Turnitin artikel ""pengaruh motivasi kerja dan komitmen organisasi""",Balitbang Lampung Barat,,,,,,,,,,,,,,,,,,
50,['H1'],published,2,"PT Bukit Asam (Persero) Tbk. Tarahan Port Unit (PTBA) is the best 
mining industry and coal supplier in Indonesia. PTBA considers employees as 
assets, because employee performance is an important thing that supports the 
achievement of company targets. PTBA for the last five years has been faced 
with the complexity of the problem of declining profits which is thought to be 
caused by the quality of its human resources, so that it is a management 
demand to continue to improve employee performance because employee 
performance is an important thing that supports the achievement of company 
targets. 
This study aims to determine the effect of Work Life Balance (WLB) and 
workload on the performance of employees of PT Bukit Asam (Persero) Tbk. 
Tarahan Port Unit with Motivation as a moderating variable. The research 
method used is quantitative, which is a process of finding knowledge that uses 
data in the form of numbers as a tool to analyze information about what you 
want to know. In this study using a questionnaire with a Likert scale. The 
research population was 203 people and the sample was taken as many as 160 
people. Data analysis used Moderated Regression Analysis (MRA) with IBM 
SPSS 26 analysis tool. 
The results showed that work life balance and workload had a positive 
effect on employee performance. Meanwhile, work motivation cannot 
moderate the effect of work life balance on employee performance but can 
moderate the effect of workload on employee performance. The leadership of 
PT Bukit Asam (Persero) Tbk. Tarahan Port Unit is expected to increase 
motivation and optimize workload for employees so that their performance 
can increase.",http://repository.lppm.unila.ac.id/id/eprint/49250,2022-12-24 00:00:00.000000000,['FEB6'],LPPM Darul 'Ulum Lampung Timur Institute of Sciences (STIS),Jurnal Tafkirul Iqtishodiyyah,disk0_bak/00/04/92/50,,2023-03-27 00:55:02,2809-9524,public,pub,6,archive,,49250,2023-03-27 00:55:02,238-272,show,2,588,"[{'main': 'ayang nurma.pdf', 'docid': 188796, 'files': [{'hash': '0d6b95fb052be68632f3db8e818efee4', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 534990, 'filename': 'ayang nurma.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/534990', 'filesize': 920334, 'objectid': 188796, 'mtime': '2023-03-26 04:07:11', 'hash_type': 'MD5'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 49250, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188796', 'pos': 1, 'security': 'public'}]",2023-03-27 00:55:02,https://ejournal.stisdulamtim.ac.id/index.php/JTI/article/view/66,article,"[{'name': {'lineage': None, 'family': 'Nurma', 'honourific': None, 'given': 'Ayang'}, 'id': None}, {'id': 'habibullah.jimad@gmail.com,', 'name': {'given': 'Habibullah', 'honourific': None, 'lineage': None, 'family': 'Jimad'}}, {'name': {'given': 'Mirwan', 'lineage': None, 'family': 'Karim', 'honourific': None}, 'id': None}]",TRUE,"EFFECT OF WORK LIFE BALANCE (WLB) 
AND WORKLOAD ON EMPLOYEE PERFORMANCE 
WITH MOTIVATION AS A MODERATION VARIABLE 
(Study on Employees of PT. Bukit Asam (Persero), Tbk Tarahan Harbor Unit)",,,,,,,,,,,,,,,,,,,
51,['AC'],published,1,"The most crucial factor is that tourism managers must be able to adapt to technological advances, which must make it easier for tourists or visitors to access or make transactions if tourists are going to travel to tourist areas. Given how strategic the tourism sector is, it can become a new model and strategy in national economic development, accompanied by digitalizing services to make it easier for consumers or tourists. This study intends to show the Effect of Website Design, E-Service Quality, and E-Recovery Service Quality Ecotourism Lampung on Visitor Satisfaction in Kiluan Bay and Pahawang Island. The research background is because many ecotourism areas are starting to adapt to increasingly rapid technological developments. However, differences do not match this in the design, good electronic services, and services when problems occur in electronic services. This study uses a quantitative research method with a correlational approach. Methods of data collection are done by distributing questionnaires and documentation. There are two research instrument testing methods, namely validity and reliability tests. The data analysis method is the Correlation Test and Multiple Linear Regression Analysis. The results showed a significant effect of Website Design, E-Service Quality, and E-Recovery Service Quality on Visitor Satisfaction, which was 0.245, and the coefficient of determination (R Square) was 0.090. It can be concluded that the Effect of Website Design, E-Service Quality, E-Recovery Service Quality Ecotourism Lampung on Visitor Satisfaction in Kiluan Bay and Pahawang Island is in a Low category.",http://repository.lppm.unila.ac.id/id/eprint/49025,1970-01-01 00:00:00.000002022,['FEB6'],LIGHTHOUSE PUBLISHING,Asian Journal of Economics and Business Management,disk0_bak/00/04/90/25,,2023-03-21 01:49:32,-,public,pub,6,archive,,49025,2023-03-21 01:49:32,279-285,show,3,253,"[{'eprintid': 49025, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188478', 'format': 'text', 'main': '251-Article Text-1279-1549-10-20221209.pdf', 'docid': 188478, 'files': [{'fileid': 533211, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'c61cdbe3e398cda2b7768291de6b5913', 'objectid': 188478, 'filesize': 318926, 'uri': 'http://repository.lppm.unila.ac.id/id/file/533211', 'filename': '251-Article Text-1279-1549-10-20221209.pdf', 'hash_type': 'MD5', 'mtime': '2023-03-20 07:35:00'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2023-03-21 01:49:32,https://lighthouse-pub.com/ajebm/article/view/251,article,"[{'name': {'given': 'Dorothy Rouly H.', 'lineage': None, 'family': 'Pandjaitan', 'honourific': None}, 'id': 'dorothy_rouly@yahoo.com'}]",TRUE,"The influence of website design, e-service quality, and e-recovery service quality of Lampung ecotourism on visitor satisfaction",,,,,,,,,,,,,,,,,,,
52,['H1'],published,11,"This research intends to prove the causing factors: electronic word of mouth, brand image, and trust as the determinant of the online utilizing intention of streaming music platform: Spotify Premium. Moreover, this research follows the hypothesis testing design to implement this aim. To get the samples and their response, we selected 100 people in Bandar Lampung as the candidates of users of Spotify Premium based on the snowball sampling technique through the online survey. Also, we use the structural equation model with the variance approach to examine the three proposed hypotheses. After discussing the statistical results related to the hypothesis testing, we deduce that intention to use Spotify Premium is positively affected by electronic word of mouth, brand image, and trust. Additionally, brand image has the highest size effect, followed by electronic word of mouth and trust. To attract the attention of the candidates, Spotify needs to commit to keeping its motto: Listening is everything; by creating the lyrics on the video, give feedback to the suggestion and complaints on its official social media: Instagram, Twitter, and Facebook, and keep users' data secret and compensate the consumers for any losses.",http://repository.lppm.unila.ac.id/id/eprint/40055,2022-03-05 00:00:00.000000000,['FEB6'],richtmann,Academic Journal of Interdisciplinary Studies,disk0/00/04/00/55,,2022-03-10 04:22:45,2281-4612,public,pub,6,archive,,40055,2022-03-10 04:22:45,355-364,show,2,238,"[{'placement': 1, 'eprintid': 40055, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161347', 'security': 'public', 'docid': 161347, 'main': '12890-Article Text-45643-1-10-20220305.pdf', 'files': [{'datasetid': 'document', 'fileid': 448029, 'hash': '484888fc0bc25fbb517feb225e72b3ea', 'mime_type': 'application/pdf', 'objectid': 161347, 'filesize': 261280, 'filename': '12890-Article Text-45643-1-10-20220305.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/448029', 'hash_type': 'MD5', 'mtime': '2022-03-09 14:51:00'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-03-10 04:22:45,https://www.richtmann.org/journal/index.php/ajis/article/view/12890,article,"[{'name': {'given': 'Dorothy Rouly H.', 'family': 'Pandjaitan', 'lineage': None, 'honourific': None}, 'id': 'dorothy_rouly@yahoo.com'}, {'id': 'dwiasrisitiambarwati@gmail.com', 'name': {'family': 'Ambarwati', 'lineage': None, 'honourific': None, 'given': 'Dwi Asri Siti'}}]",TRUE,"Electronic Word of Mouth, Brand Image, Trust and Online Utilization Intention",,,,,,,,,,,,,,,,,,,
53,['AC'],published,Vo 2,"Abstract
Purpose: This research is based on the online shopping trend which has increased in Indonesia and the Shopee marketplace site which has experienced a very significant increase in sales from previous years.
Method: This study aims to analyze the effect of the Hedonic Shopping Motivation Dimension on impulse buying. The population in this study are consumers who have made impulse purchases on the Shopee marketplace site. The sample in this study was taken using a purposive sampling method and determined by the Bernoulli formula.
Results: The results of this study indicate that Idea Shopping (X3), Social Shopping (X4), and Relaxation Shopping (X5) have a positive and significant effect on Impulsive Purchases on the Shopee marketplace site. The results of this study indicate that the variable that has the most dominant effect on impulse buying is relaxation shopping and the variable that has the least effect is social shopping.
Limitations: This research focuses on experience, idea, value, social and relaxation as independent variables; and the competitive advantage as dependent variable.
Contribution: This research explains the effect on Impulsive Purchases on the Shopee marketplace site and also the implications of marketing management theory.
Keywords: Hedonic Shopping Motivation, Impulsive Purchase, Marketplace, Shopee, Online Shopping.",http://repository.lppm.unila.ac.id/id/eprint/46334,1970-01-01 00:00:00.000002022,['FEB6'],Goodwood Publisher,"Reviu Akuntansi, Manajemen, dan Bisnis (Rambis)",disk0/00/04/63/34,[{'url': 'https://penerbitgoodwood.com/index.php/rambis'}],2022-11-07 08:07:09,"2797-958x.Vol 2, No 1, 2022",public,pub,6,archive,https://doi.org/10.35912/rambis.v2i1.1477,46334,2022-11-07 08:07:09,55-65,show,N0 1,253,"[{'files': [{'hash': '42eb8dfcf58c929d2b22b5c3a6bf7a56', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 511700, 'uri': 'http://repository.lppm.unila.ac.id/id/file/511700', 'filename': '0211+1477.pdf', 'objectid': 185217, 'filesize': 957776, 'mtime': '2022-11-07 07:13:51', 'hash_type': 'MD5'}], 'main': '0211+1477.pdf', 'docid': 185217, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 46334, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185217', 'security': 'public'}]",2022-11-07 08:07:09,,article,"[{'id': 'dorothy_rouly@yahoo.com', 'name': {'honourific': None, 'family': 'Pandjaitan', 'lineage': None, 'given': 'Dorothy Rouly H.'}}, {'id': 'dwiasrisitiambarwati@gmail.com', 'name': {'family': 'Ambarwati', 'lineage': None, 'honourific': None, 'given': 'Dwi Asri Siti'}}]",TRUE,"Pengaruh Dimensi Motivasi Belanja Hedonis terhadap Pembelian Impulsif pada Situs Marketplace Shopee (The Influence of Hedonist Shopping Motivation on Impulse
Buying in Marketplace Shopee Site)",,,,,,,,,,,,,,,,,,,
54,['AC'],published,11,"Abstract
This research intends to prove the causing factors: electronic word of mouth, brand image, and trust as the determinant of the online utilizing intention of streaming music platform: Spotify Premium. Moreover, this research follows the hypothesis testing design to implement this aim. To get the samples and their response, we selected 100 people in Bandar Lampung as the candidates of users of Spotify Premium based on the snowball sampling technique through the online survey. Also, we use the structural equation model with the variance approach to examine the three proposed hypotheses. After discussing the statistical results related to the hypothesis testing, we deduce that intention to use Spotify Premium is positively affected by electronic word of mouth, brand image, and trust. Additionally, brand image has the highest size effect, followed by electronic word of mouth and trust. To attract the attention of the candidates, Spotify needs to commit to keeping its motto: Listening is everything; by creating the lyrics on the video, give feedback to the suggestion and complaints on its official social media: Instagram, Twitter, and Facebook, and keep users' data secret and compensate the consumers for any losses.
Keywords: brand image, electronic word of mouth, entertainment, music streaming platform, trust, online utilizing intention",http://repository.lppm.unila.ac.id/id/eprint/46463,1970-01-01 00:00:00.000002022,['FEB6'],E-ISSN 2281-4612 ISSN 2281-3993,Academic Journal of Interdisciplinary Studies www.richtmann.org,disk0/00/04/64/63,,2022-11-11 01:01:33,E-ISSN 2281-4612 ISSN 2281-3993,public,pub,6,archive,,46463,2022-11-11 01:01:33,355-364,show,2,253,"[{'placement': 1, 'eprintid': 46463, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185336', 'security': 'public', 'main': 'AJIS (2022).pptx', 'files': [{'filesize': 1600967, 'objectid': 185336, 'filename': 'AJIS (2022).pptx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/512609', 'hash_type': 'MD5', 'mtime': '2022-11-10 05:47:59', 'fileid': 512609, 'datasetid': 'document', 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'hash': 'c83f0854974f0b55546dd418ed76bec8'}], 'docid': 185336, 'format': 'slideshow', 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation', 'language': 'en', 'rev_number': 1}]",2022-11-11 01:01:33,,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Pandjaitan', 'given': 'Dorothy Rouly H.'}, 'id': 'dorothy_rouly@yahoo.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Dwi asri siti', 'given': 'ambarwati'}, 'id': 'dwiasrisitiambarwati@gmail.com'}]",TRUE,"Electronic Word of Mouth, Brand Image, Trust and Online Utilization Intention (KORESPONDENSI)",,,,,,,,,,,,,,,,,,,
55,['AC'],published,,,http://repository.lppm.unila.ac.id/id/eprint/46327,1970-01-01 00:00:00.000002022,['FEB6'],Richtmann,Academic Journal of Interdisciplinary Studies,disk0/00/04/63/27,,2022-11-07 08:06:58,2281-4612,public,pub,6,archive,,46327,2022-11-07 08:06:58,,show,,253,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'AJIS (2022).pdf', 'docid': 185211, 'files': [{'mtime': '2022-11-07 05:03:44', 'hash_type': 'MD5', 'filename': 'AJIS (2022).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/511658', 'filesize': 1100777, 'objectid': 185211, 'mime_type': 'application/pdf', 'hash': 'fdd2ced33332353445e58f5d2ca379ea', 'fileid': 511658, 'datasetid': 'document'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185211', 'pos': 1, 'eprintid': 46327, 'placement': 1}]",2022-11-07 08:06:58,,article,"[{'name': {'given': 'Dorothy Rouly H.', 'honourific': None, 'lineage': None, 'family': 'Pandjaitan'}, 'id': 'dorothy_rouly@yahoo.com'}, {'name': {'honourific': None, 'family': 'Dwi asri siti', 'lineage': None, 'given': 'ambarwati'}, 'id': 'dwiasrisitiambarwati@gmail.com'}]",TRUE,"Electronic word of mouth, Brand Image, Trust and Online Utilization Intention (korespondensi)",,,,,,,,,,,,,,,,,,,
56,['AC'],published,11,"This research intends to prove the causing factors: electronic word of mouth, brand image, and trust as the determinant of the online utilizing intention of streaming music platform: Spotify Premium. Moreover, this research follows the hypothesis testing design to implement this aim. To get the samples and their response, we selected 100 people in Bandar Lampung as the candidates of users of Spotify Premium based on the snowball sampling technique through the online survey. Also, we use the structural equation model with the variance approach to examine the three proposed hypotheses. After discussing the statistical results related to the hypothesis testing, we deduce that intention to use Spotify Premium is positively affected by electronic word of mouth, brand image, and trust. Additionally, brand image has the highest size effect, followed by electronic word of mouth and trust. To attract the attention of the candidates, Spotify needs to commit to keeping its motto: Listening is everything; by creating the lyrics on the video, give feedback to the suggestion and complaints on its official social media: Instagram, Twitter, and Facebook, and keep users' data secret and compensate the consumers for any losses.",http://repository.lppm.unila.ac.id/id/eprint/42607,1970-01-01 00:00:00.000002022,['FEB6'],Richtmann Publishing,"Electronic Word of Mouth, Brand Image, Trust and Online Utilization Intention",disk0/00/04/26/07,,2022-06-20 01:21:04,2281-3993,public,pub,6,archive,,42607,2022-06-20 01:21:04,355,show,2,253,"[{'format': 'text', 'main': 'Turnitin Electronic word of mouth.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-06-18 08:52:41', 'objectid': 164318, 'filesize': 2068564, 'filename': 'Turnitin Electronic word of mouth.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/467628', 'fileid': 467628, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '16b85e6c39d6c68055b6da2e116953e6'}], 'docid': 164318, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 42607, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164318', 'pos': 1}]",2022-06-20 01:21:04,https://www.richtmann.org/journal/index.php/ajis/article/view/12890,article,"[{'name': {'honourific': None, 'family': 'Pandjaitan', 'lineage': None, 'given': 'Dorothy Rouly H.'}, 'id': 'dorothy_rouly@yahoo.com'}, {'name': {'given': 'Artaditya', 'family': 'Kosasih', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'given': 'ambarwati', 'lineage': None, 'family': 'Dwi asri siti', 'honourific': None}, 'id': 'dwiasrisitiambarwati@gmail.com'}, {'id': None, 'name': {'given': 'Bram', 'lineage': None, 'family': 'Hadianto', 'honourific': None}}]",TRUE,"Electronic Word of Mouth, Brand Image, Trust and Online Utilization Intention",,,,,,,,,,,,,,,,,,,
57,['AC'],published,11,"This research intends to prove the causing factors: electronic word of mouth, brand image, and trust as the determinant of the online utilizing intention of streaming music platform: Spotify Premium. Moreover, this research follows the hypothesis testing design to implement this aim. To get the samples and their response, we selected 100 people in Bandar Lampung as the candidates of users of Spotify Premium based on the snowball sampling technique through the online survey. Also, we use the structural equation model with the variance approach to examine the three proposed hypotheses. After discussing the statistical results related to the hypothesis testing, we deduce that intention to use Spotify Premium is positively affected by electronic word of mouth, brand image, and trust. Additionally, brand image has the highest size effect, followed by electronic word of mouth and trust. To attract the attention of the candidates, Spotify needs to commit to keeping its motto: Listening is everything; by creating the lyrics on the video, give feedback to the suggestion and complaints on its official social media: Instagram, Twitter, and Facebook, and keep users' data secret and compensate the consumers for any losses.",http://repository.lppm.unila.ac.id/id/eprint/42605,1970-01-01 00:00:00.000002022,['FEB6'],Richtmann Publishing,"Electronic Word of Mouth, Brand Image, Trust and Online Utilization Intention",disk0/00/04/26/05,,2022-06-20 01:21:02,2281-3993,public,pub,6,archive,,42605,2022-06-20 01:21:02,355,show,2,253,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/164317', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 42605, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'mime_type': 'application/pdf', 'hash': '450214109b8a83386a20e6b7301e9776', 'datasetid': 'document', 'fileid': 467621, 'mtime': '2022-06-18 08:40:00', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/467621', 'filename': '1. Penilaian Reviwer_Electronic Word of Mouth_Dorothy.pdf', 'objectid': 164317, 'filesize': 867733}], 'main': '1. Penilaian Reviwer_Electronic Word of Mouth_Dorothy.pdf', 'docid': 164317, 'format': 'text'}]",2022-06-20 01:21:02,https://www.richtmann.org/journal/index.php/ajis/article/view/12890,article,"[{'id': 'dorothy_rouly@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Pandjaitan', 'given': 'Dorothy Rouly H.'}}, {'name': {'given': 'artaditya', 'family': 'Kosasih', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'dwiasrisitiambarwati@gmail.com', 'name': {'honourific': None, 'family': 'Ambarwati', 'lineage': None, 'given': 'Dwi Asri Siti'}}, {'name': {'lineage': None, 'family': 'Hadianto', 'honourific': None, 'given': 'Bram'}, 'id': None}]",TRUE,"Electronic Word of Mouth, Brand Image, Trust and Online Utilization Intention",,,,,,,,,,,,,,,,,,,
