,type,title,lastmod,editors,metadata_visibility,status_changed,rev_number,dir,divisions,funders,volume,uri,date_type,subjects,place_of_pub,isbn,refereed,userid,number,official_url,pages,documents,datestamp,eprint_status,id_number,eprintid,pagerange,full_text_status,ispublished,publisher,abstract,projects,date,book_title,series,publication,creators,pres_type,event_title,event_type,issn,related_url,corp_creators,department,institution,monograph_type,event_dates,event_location
28,article,"FORMULATION OF DIVERSION IN NATIONAL AND INTERNATIONAL LAW 
INSTRUMENTS",2021-06-09 08:22:57,,show,2021-06-09 08:22:57,6,disk0/00/03/23/96,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/32396,,['K1'],,,FALSE,114,,,,"[{'main': 'IJBEL24-584.pdf', 'files': [{'hash': '56be1bfcf2e0109942e05916ad371671', 'mime_type': 'application/pdf', 'fileid': 383382, 'datasetid': 'document', 'filename': 'IJBEL24-584.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/383382', 'objectid': 146974, 'filesize': 211737, 'mtime': '2021-06-09 04:52:27', 'hash_type': 'MD5'}], 'docid': 146974, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 32396, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146974', 'pos': 1, 'security': 'public'}]",2021-06-09 08:22:57,archive,,32396,,public,pub,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">klibel</font></font>",,,1970-01-01 00:00:00.000002021,,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Jurnal Internasional Bisnis, Ekonomi dan Hukum</font></font>","[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nikmah.rosidah@fh.unila.ac.id</font></font>', 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">2289-1552</font></font>",,,,,,,
29,other,Review jdaya saing kunyit di JOFSA Vol 5 no 2 n0v 21,2022-03-21 00:56:28,,show,2022-03-21 00:56:28,8,disk0/00/04/03/67,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/40367,,['S1'],,,,933,,,,"[{'format': 'text', 'main': 'review naskah daya saing kunyit JoFSA november 21.pdf', 'files': [{'filename': 'review naskah daya saing kunyit JoFSA november 21.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/450361', 'filesize': 382278, 'objectid': 161677, 'mtime': '2022-03-18 15:38:41', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '8a55e06d6aa855c577451a33845f4834', 'fileid': 450361, 'datasetid': 'document'}], 'docid': 161677, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 40367, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161677'}]",2022-03-21 00:56:28,archive,,40367,,public,unpub,Politeknik Negeri Lampung,Peer revew JoFSA Vol 5 no 2 November 21,,1970-01-01 00:00:00.000002021,,,,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Abidin', 'given': 'Zainal'}}]",,,,,,,,,,,
30,article,Protection of Sexual Reproductive Healthcare Rights of Women in Relation to SDGs in Lampung Timur Regency,2021-11-03 01:33:37,,show,2021-11-03 01:33:36,15,disk0/00/03/48/55,['FH2'],['PKKP-HAM FH Unila'],4,http://repository.lppm.unila.ac.id/id/eprint/34855,published,['K1'],,,TRUE,940,9,,,"[{'files': [{'filename': '6-SIJLCJ_49_536-544_FT (Sept 2021_Afrianti, Tisnanta, FX sumarja).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/408641', 'filesize': 587818, 'objectid': 155543, 'mtime': '2021-11-02 10:14:58', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '2b040a873f4267d4af552829a4c7aa2b', 'datasetid': 'document', 'fileid': 408641}], 'main': '6-SIJLCJ_49_536-544_FT (Sept 2021_Afrianti, Tisnanta, FX sumarja).pdf', 'docid': 155543, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 34855, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155543', 'pos': 1, 'security': 'public'}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/155547', 'pos': 2, 'formatdesc': 'ImageMagick conversion from text to application/pdf', 'security': 'public', 'placement': 2, 'eprintid': 34855, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'main': '6-SIJLCJ_49_536-544_FT (Sept 2021_Afrianti, Tisnanta, FX sumarja).pdf', 'relation': [{'type': 'http://eprints.org/relation/isVersionOf', 'uri': '/id/document/155543'}], 'files': [{'datasetid': 'document', 'fileid': 408669, 'hash': 'bd5bf261faabed7c822d36def90f7d7a', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-11-02 10:37:45', 'filesize': 2183480, 'objectid': 155547, 'filename': '6-SIJLCJ_49_536-544_FT (Sept 2021_Afrianti, Tisnanta, FX sumarja).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/408669'}], 'docid': 155547, 'format': 'text'}]",2021-11-03 01:33:36,archive,940.0,34855,536-544,public,pub,"Scholars Middle East Publishers, Dubai, United Arab Emirates","This research was conducted to identify and map existing policies related to efforts to protect and fulfill the Sexual and Reproductive Healthcare Right (SRHR) of women in relation with Goals 1 (No Poverty), Goals 3 (Healthy and Prosperous Life), Goals 4 ( Quality Education) and Goal 5 (Gender Equality) of the SDGs, through services that are the
obligation of the Local Government of East Lampung Regency. By using legal, otherwise known as empiricalsociological research methods, it is found that the SRHR and SDG are two different entities but both have similarities in Human Rights (Human Rights), namely related to, Socio-Cultural and Economic Rights. As a form of public service in the context of Human Rights, the East Lampung Regency Government is obligated to fulfill by legalizing various regulations and providing types of services, poverty alleviation,healthcare, education, and gender equality, to overcome stunting, child marriage, maternal and infant mortality, and violence against women, in East Lampung Regent. In the context of human rights, local government obligations are subject to the progressive realization which is carried out using
the Human Rights-Based Approach (HRBA). So that they contribute in the form of a policy brief for the Regional
Government of East Lampung Regency in realizing the SDGS issue and Fulfillment of Women's SRHR. Local government obligations are subject to the progressive realization which is carried out using the Human Rights-Based Approach (HRBA). So that they contribute in the form of a policy brief for the Regional Government of East Lampung Regency in realizing the SDGS issue and Fulfillment of Women's SRHR. Local government obligations are subject to the progressive realization which is carried out using the Human Rights-Based Approach (HRBA). So that they contribute in the form of a policy brief for the Regional Government of East Lampung Regency in realizing the SDGS issue and
Fulfillment of Women's SRHR.",['---'],2021-09-01 00:00:00.000000000,,,"Scholars International Journal of Law, Crime and Justice","[{'name': {'family': 'Afrintina', 'lineage': None, 'honourific': None, 'given': 'Afrianti'}, 'id': None}, {'name': {'given': 'Tisnanta', 'lineage': None, 'family': 'HS', 'honourific': None}, 'id': None}, {'id': 'fxsmj.unila@gmail.com', 'name': {'given': 'FX', 'honourific': None, 'family': 'Sumarja', 'lineage': None}}]",,,,2617-3484 (Online),[{'url': 'https://saudijournals.com/'}],"['Magister Hukum Unila', 'FH Unila', 'FH Unila']",,,,,
31,article,The Urgency Of Regional Regulations In Realizing Disaster Resilient Villages In South Lampung District,2021-03-01 04:54:24,,show,2021-03-01 04:54:24,6,disk0/00/02/80/84,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/28084,,['K1'],,,FALSE,4439,,,,"[{'placement': 1, 'eprintid': 28084, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42141', 'security': 'public', 'main': 'Agung The Urgency.pdf', 'files': [{'datasetid': 'document', 'fileid': 250067, 'hash': '7c1dbeacd37dc9bd1fd742a529d1de91', 'mime_type': 'application/pdf', 'filesize': 128935, 'objectid': 42141, 'filename': 'Agung The Urgency.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/250067', 'hash_type': 'MD5', 'mtime': '2021-02-25 07:23:53'}], 'docid': 42141, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2021-03-01 04:54:24,archive,,28084,,public,pub,Magister Ilmu Hukum UBL,Hasil Penilaian Sejawat Sebidang atau Peer Review,,2021-01-01 00:00:00.000000000,,,Pranata Hukum Jurnal Ilmu Hukum,"[{'name': {'given': 'Prasetyo', 'lineage': None, 'family': 'Agung Budi', 'honourific': None}, 'id': 'agung.prasetyo@fh.unila.ac.id'}]",,,,,,,,,,,
32,article,"ASEAN COURT OF JUSTICE: ISSUES, OPPORTUNITIES AND CHALLENGES CONCERNING REGIONAL SETTLEMENT DISPUTES",2023-05-03 06:52:05,,show,2023-05-03 06:52:05,6,disk0_bak/00/05/09/79,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/50979,,['K1'],,,FALSE,230,,,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2023-05-03 02:50:59', 'objectid': 190691, 'filesize': 1671005, 'uri': 'http://repository.lppm.unila.ac.id/id/file/548491', 'filename': 'ASEAN COURT OF JUSTICE_ ISSUES, OPPORTUNITIES AND CHALLENGES CONCERNING REGIONAL SETTLEMENT DISPUTES.pdf', 'datasetid': 'document', 'fileid': 548491, 'hash': 'b666250462adf0a9602979f78a77e330', 'mime_type': 'application/pdf'}], 'main': 'ASEAN COURT OF JUSTICE_ ISSUES, OPPORTUNITIES AND CHALLENGES CONCERNING REGIONAL SETTLEMENT DISPUTES.pdf', 'docid': 190691, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190691', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50979}]",2023-05-03 06:52:05,archive,,50979,,public,submitted,,,,1970-01-01 00:00:00.000002021,,,"ASEAN COURT OF JUSTICE: ISSUES, OPPORTUNITIES AND CHALLENGES CONCERNING REGIONAL SETTLEMENT DISPUTES","[{'name': {'family': 'Ahmad Syofyan', 'lineage': None, 'honourific': None, 'given': 'Ahmad S'}, 'id': 'ahmad.syofyan@fh.unila.ac.id'}]",,,,,,,,,,,
33,article,URL Web Jurnal	PENAL MEDIATION BY POLICE INSTITUTIONS IN HANDLING MIDDLE CRIMES IN REALIZING RESTORATIVE JUSTICE PRINCIPLES,2022-01-27 08:01:16,,show,2022-01-27 08:01:16,6,disk0/00/03/85/07,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/38507,,['K1'],,,FALSE,18896,,,,"[{'docid': 159618, 'main': 'Reviewe Ais.pdf', 'files': [{'fileid': 436079, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '9a805843015b5aad5ca3835e8f2ca8dd', 'objectid': 159618, 'filesize': 260933, 'filename': 'Reviewe Ais.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/436079', 'hash_type': 'MD5', 'mtime': '2022-01-27 06:14:39'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 38507, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159618', 'pos': 1, 'security': 'public'}]",2022-01-27 08:01:16,archive,,38507,,public,pub,Magister Hukum Universitas Bandar Lampung,Penilaian Sejawat Sebidang atau Peer review,,1970-01-01 00:00:00.000002021,,,Pranata Hukum,"[{'id': 'aisyahhkm@gmail.com', 'name': {'given': 'Aisyah', 'honourific': None, 'family': 'Aisyah Muda Cemerlang', 'lineage': None}}]",,,,,,,,,,,
34,article,Dynamics of Land Acquisition for Public Interest and Rights of Affected Communities in Indonesia,2021-11-03 01:33:42,,show,2021-11-03 01:33:42,6,disk0/00/03/48/60,['FH2'],['PKKP_HAM FH Unila'],6,http://repository.lppm.unila.ac.id/id/eprint/34860,published,['K1'],,,TRUE,940,8,http://www.ijisrt.com/,,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mtime': '2021-11-02 10:25:43', 'hash_type': 'MD5', 'filename': '7-IJISRT21AUG731 (Agustus 2021, sani, tisnnata, fx sumarja).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/408661', 'objectid': 155546, 'filesize': 368800, 'mime_type': 'application/pdf', 'hash': '13a13c069dd96eaeaf2d4e810372ccee', 'datasetid': 'document', 'fileid': 408661}], 'main': '7-IJISRT21AUG731 (Agustus 2021, sani, tisnnata, fx sumarja).pdf', 'docid': 155546, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155546', 'eprintid': 34860, 'placement': 1}]",2021-11-03 01:33:42,archive,940.0,34860,1092-1102,public,pub,---,"Land procurement is an activity to provide land by providing appropriate and fair compensation to the entitled party. The need for land for infrastructure development carried out by the government makes the government often make changes to land acquisition regulations so that they match the interests of infrastructure and the interests of the community. This article aims to find out the dynamics of land acquisition for the public interest and the rights of affected communities in Indonesia. In this study, the authors used normative research methods, by reviewing the laws and regulations, with the statute approach, namely reviewing the laws and regulations. The result is that the policy change as contained in the Job Creation Law is a policy that is present to facilitate development in the context of investment and become a supporting policy from the government for the private sector in carrying out a land
acquisition. Rights affect communities based on land acquisition law in the context of protection in terms of
compensation in the form of money have indeed been protecting because the replacement is base on the NJOP
and the accurate price assessed by an independent party/,
in this case, the land appraiser. However, with high land
compensation and better community protection, there are
irreplaceable losses such as social and cultural aspects.
Then, by creating a work copyright law that better accommodates investment interests, the potential losses
for the affected community will be neglected. There are
irreplaceable losses such as social and cultural aspects.
Then, by creating a work copyright law that better accommodates investment interests, the potential losses
for the affected community will be neglected. There are
irreplaceable losses such as social and cultural aspects.
Then, by creating a work copyright law that better accommodates investment interests, the potential losses
for the affected community will be neglected.",['---'],2021-08-01 00:00:00.000000000,,,International Journal of Innovative Science and Research Technology,"[{'name': {'given': 'Sani Nur', 'honourific': None, 'family': 'Asih', 'lineage': None}, 'id': None}, {'name': {'honourific': None, 'family': 'HS', 'lineage': None, 'given': 'Tisnanta'}, 'id': None}, {'name': {'given': 'FX', 'family': 'Sumarja', 'lineage': None, 'honourific': None}, 'id': 'fxsmj.unila@gmail.com'}]",,,,2456-2165,[{'url': 'http://repository.lppm.unila.ac.id/'}],"['Magister Hukum Unila', 'FH Unila', 'FH Unila']",,,,,
35,book,Penegakan Hukum di masa Pendemi Covid-19,2021-11-03 09:27:07,"[{'name': {'given': 'FX', 'family': 'Sumarja', 'lineage': None, 'honourific': None}, 'id': 'fxsmj.unila@gmail.com'}]",show,2021-11-03 09:27:07,11,disk0/00/03/49/02,['FH2'],['Magister Ilmu Hukum FH Unila'],--,http://repository.lppm.unila.ac.id/id/eprint/34902,published,['K1'],Bandarlampung,9786236024324,TRUE,940,--,,286.0,"[{'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155619', 'security': 'public', 'placement': 2, 'eprintid': 34902, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'fileid': 409149, 'mime_type': 'application/pdf', 'hash': '531811f6d30f332f4ee92e80fb8a0f74', 'hash_type': 'MD5', 'mtime': '2021-11-03 07:55:47', 'filesize': 4239143, 'objectid': 155619, 'uri': 'http://repository.lppm.unila.ac.id/id/file/409149', 'filename': 'Kebijakan Hukum Di Masa Pandemi Covid-19.pdf'}], 'main': 'Kebijakan Hukum Di Masa Pandemi Covid-19.pdf', 'docid': 155619, 'format': 'text'}]",2021-11-03 09:27:07,archive,,34902,,public,pub,Pusaka Media,"Buku “Kebijakan Hukum Di Masa Pandemi Covid-19” berisikan
kebijakan kenegaraan dalam pembatasan sosial, tanggungjawab dan perlindungan Negara dalam pemenuhan hak atas kesehatan,
lingkungan, perikanan, dan kebijakan keperdataan dalam bidang perjanjian serta investasi. Dapat juga dikatakan sebuah bunga rampai hukum publik dan privat, mencakup bidang lingkungan, Kebijakan Hukum Di Masa Pandemi Covid-19, kehutanan, perikanan, kesehatan, bisnis/perjanjian, HAM, dan hak
ulayat.",['Seri Diskusi Mahasiswa'],2021-06-01 00:00:00.000000000,,---,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Astarin', 'given': 'Chaida'}}, {'name': {'family': 'Mevitama', 'lineage': None, 'honourific': None, 'given': 'Shindi dkk'}}]",,,,,[{'url': 'http://repository.lppm.unila.ac.id/'}],"['Magister Ilmu Hukum Unila', 'Magister Ilmu Hukum FH Unila']",,,,,
36,monograph,Perspektif Hukum dalam Gejala dan Problematika Sosial,2021-09-21 06:37:24,,show,2021-09-21 06:37:24,7,disk0/00/03/40/19,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/34019,completed,['K1'],Lampung,,,276,,,100.0,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154291', 'security': 'public', 'placement': 1, 'eprintid': 34019, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'filesize': 3775867, 'objectid': 154291, 'filename': 'Prosiding S2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401746', 'hash_type': 'MD5', 'mtime': '2021-09-21 04:59:58', 'fileid': 401746, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '835bbd14edbbbfe4994d43a727365b6f'}], 'main': 'Prosiding S2.pdf', 'docid': 154291, 'format': 'text'}]",2021-09-21 06:37:24,archive,,34019,,public,pub,Justice Publisher,,,2021-06-17 00:00:00.000000000,,,,"[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'honourific': None, 'lineage': None, 'family': 'Bayu sujadmiko'}, 'id': None}, {'name': {'given': 'FX', 'lineage': None, 'family': 'Sumarja', 'honourific': None}, 'id': 'fxsmj.unila@gmail.com'}, {'name': {'lineage': None, 'family': 'Rifai', 'honourific': None, 'given': 'Eddy'}, 'id': 'eddyrifai63@gmail.com'}]",,,,,,,MIH FH UNILA,MIH FH UNILA,discussion_paper,,
37,article,Membuat Terang Tindak Pidana,2023-05-22 06:56:58,,show,2023-05-22 06:56:58,6,disk0_bak/00/05/19/60,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/51960,,['K1'],,,FALSE,292,,,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 251331, 'main': 'Membuat Terang Pidana.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '5b24adce7f47862235eea75a29810ae4', 'fileid': 615620, 'datasetid': 'document', 'mtime': '2023-05-22 06:32:56', 'hash_type': 'MD5', 'filename': 'Membuat Terang Pidana.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/615620', 'filesize': 213233, 'objectid': 251331}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/251331', 'pos': 1, 'eprintid': 51960, 'placement': 1}]",2023-05-22 06:56:58,archive,,51960,,public,submitted,TRIBUN,,,1970-01-01 00:00:00.000002021,,,Membuat Terang Pidana,"[{'name': {'given': 'Husin', 'family': 'Budi Rizki', 'lineage': None, 'honourific': None}, 'id': 'budi.rizki@fh.unila.ac.id'}]",,,,,,,,,,,
38,book_section,Sistem Peradilan Pidana anak,2023-05-22 06:56:42,,show,2023-05-22 06:56:42,7,disk0_bak/00/05/19/57,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/51957,,['K1'],,,FALSE,292,,,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251320', 'security': 'public', 'placement': 1, 'eprintid': 51957, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Sistem Peradilan Pidana anak.pdf', 'files': [{'fileid': 615597, 'datasetid': 'document', 'hash': 'e3293fc0cfd5ba00c0b651cddac0d197', 'mime_type': 'application/pdf', 'objectid': 251320, 'filesize': 1726966, 'uri': 'http://repository.lppm.unila.ac.id/id/file/615597', 'filename': 'Sistem Peradilan Pidana anak.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-22 06:20:57'}], 'docid': 251320, 'format': 'text'}]",2023-05-22 06:56:42,archive,,51957,,public,submitted,Pusaka Media,,,1970-01-01 00:00:00.000002021,Sistem Peradilan Pidana anak,,,"[{'id': 'budi.rizki@fh.unila.ac.id', 'name': {'given': 'Husin', 'lineage': None, 'family': 'Budi Rizki', 'honourific': None}}]",,,,,,,,,,,
39,article,REHABILITASI PECANDU NARKOBA,2023-05-22 06:18:36,,show,2023-05-22 06:18:36,6,disk0_bak/00/05/19/54,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/51954,,['K1'],,,FALSE,292,,,,"[{'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '449e48cbd916380471656b65b5e57426', 'fileid': 615559, 'datasetid': 'document', 'filename': 'Media Koran. 1.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/615559', 'objectid': 251308, 'filesize': 359798, 'mtime': '2023-05-22 06:11:09', 'hash_type': 'MD5'}], 'main': 'Media Koran. 1.pdf', 'docid': 251308, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51954, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/251308', 'pos': 1}]",2023-05-22 06:18:36,archive,,51954,,public,submitted,TRIBUN,,,1970-01-01 00:00:00.000002021,,,REHABILITASI PECANDU NARKOBA,"[{'id': 'budi.rizki@fh.unila.ac.id', 'name': {'given': 'Husin', 'honourific': None, 'family': 'Budi rizki', 'lineage': None}}]",,,,,,,,,,,
40,conference_item,EFFECTIVENESS AND EFFICIENCY OF DIVORCE MEDIATION,2023-04-10 00:57:36,,show,2023-04-10 00:57:36,7,disk0_bak/00/04/99/65,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/49965,,['K1'],,,FALSE,196,,,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'proseeding.pdf', 'docid': 189654, 'files': [{'fileid': 540767, 'datasetid': 'document', 'hash': '3689e54e9f10b80b96d2f1b54dfcec5b', 'mime_type': 'application/pdf', 'filesize': 1824143, 'objectid': 189654, 'filename': 'proseeding.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/540767', 'hash_type': 'MD5', 'mtime': '2023-04-09 07:26:08'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189654', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 49965}]",2023-04-10 00:57:36,archive,,49965,,public,pub,,Hasil Check Similarity,,1970-01-01 00:00:00.000002021,,,,"[{'id': 'dewiseptiana80@yahoo.co.id', 'name': {'lineage': None, 'family': 'Dewi Septiana', 'honourific': None, 'given': 'Dewi Septiana'}}]",paper,ULICOSS 2021,conference,,,,,,,31 AGUSTUS 2021,bandar lampung
41,conference_item,"Implementation of Sell and Purchase in Steam
Online Game Platform Based on Steam
Subcsriber Agreement",2023-04-10 00:57:33,,show,2023-04-10 00:57:33,7,disk0_bak/00/04/99/63,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/49963,,['K1'],,,FALSE,196,,,,"[{'docid': 189653, 'main': 'implementationn.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-04-09 07:23:16', 'objectid': 189653, 'filesize': 830504, 'uri': 'http://repository.lppm.unila.ac.id/id/file/540756', 'filename': 'implementationn.pdf', 'fileid': 540756, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'b2c7c18f24a21faf8dda0b1953b27d19'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 49963, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189653', 'security': 'public'}]",2023-04-10 00:57:33,archive,,49963,,public,pub,,Hasil Check Similarity,,1970-01-01 00:00:00.000002021,,,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Dewi Septiana', 'given': 'Dewi Septiana'}, 'id': 'dewiseptiana80@yahoo.co.id'}]",paper,"Advances in Social Science, Education and Humanities Research",conference,,,,,,,,
42,article,IMPLEMENTATION OF ASSIMILATION AND INTEGRATION PROGRAM DURING THE COVID-19 PANDEMIC FOR INMATES IN INDONESIA,2022-09-02 08:55:15,,show,2022-09-02 08:55:15,7,disk0/00/04/46/60,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/44660,,['K1'],,,FALSE,900,,,,"[{'format': 'text', 'main': 'POLICY OF ASSIMILATION.pdf', 'docid': 166542, 'files': [{'fileid': 482573, 'datasetid': 'document', 'hash': '047035402ab951fcc8f8dd7db0bcb76a', 'mime_type': 'application/pdf', 'filesize': 2925499, 'objectid': 166542, 'uri': 'http://repository.lppm.unila.ac.id/id/file/482573', 'filename': 'POLICY OF ASSIMILATION.pdf', 'hash_type': 'MD5', 'mtime': '2022-09-02 03:11:52'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 44660, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166542', 'pos': 1}]",2022-09-02 08:55:15,archive,,44660,,public,pub,IJBEL,Hasil Check Similarity,,1970-01-01 00:00:00.000002021,,,"International Journal of Business, Economics and Law","[{'name': {'family': 'Diah Gustiniati Maulani', 'lineage': None, 'honourific': None, 'given': 'Diah Gustiniati Maulani'}}]",,,,,,,,,,,
43,article,IMPLEMENTATION OF ASSIMILATION AND INTEGRATION PROGRAM DURING THE COVID-19 PANDEMIC FOR INMATES IN INDONESIA,2022-09-02 08:55:20,,show,2022-09-02 08:55:20,6,disk0/00/04/46/63,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/44663,,['K1'],,,FALSE,900,,,,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166545', 'pos': 1, 'eprintid': 44663, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'IMPLEMENTATION OF ASSIMILATION AND INTEGRATION PROGRAM DURING.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-09-02 04:44:39', 'filesize': 1725732, 'objectid': 166545, 'filename': 'IMPLEMENTATION OF ASSIMILATION AND INTEGRATION PROGRAM DURING.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/482594', 'datasetid': 'document', 'fileid': 482594, 'mime_type': 'application/pdf', 'hash': 'bac1a92a713f0c77564ac01f9584afcd'}], 'docid': 166545}]",2022-09-02 08:55:20,archive,,44663,,public,pub,IJBE,Hasil Check Similarity,,1970-01-01 00:00:00.000002021,,,"International Journal of Business, Economics and Law","[{'name': {'honourific': None, 'lineage': None, 'family': 'Diah Gustiniati Maulani', 'given': 'Diah Gustiniati Maulani'}}]",,,,2289-1552,,,,,,,
