,publisher,publication,divisions,dir,full_text_status,status_changed,rev_number,ispublished,date_type,subjects,abstract,volume,uri,date,type,creators,title,refereed,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,userid,number,official_url,lastmod,documents,issn,event_dates,pres_type,event_location,event_type,event_title,corp_creators,related_url
22,"Fakultas Matematika dan Ilmu Pengetahuan Alam, Universitas Lampung",Identifikasi Karakteristik Hazard Rate Distribusi Gamma Dengan Menggunakan Teorema Glaser,['FMIPA9'],disk0/00/00/67/20,public,2018-04-25 08:05:56,6,pub,published,['QA'],"Waktu kelangsungan hidup adalah data yang mengukur waktu untuk kejadian tertentu. Distribusi dari waktu kelangsungan hidup biasanya digambarkan atau digolongkan oleh tiga fungsi yaitu : fungsi kelangsungan hidup(Survival Function), fungsi kepekatan peluang (fkp) dan fungsi Hazard. Laju kegagalan (hazard rate) mempunyai bentuk-bentuk kurva yang telah diketahui, yaitu Increasing (I), Decreasing (D), Bathtub (∪),Upside-down Bathtub (∩) dan konstan. Dengan demikian tujuan dari penelitian ini adalah mengkaji karakteristik laju kegagalan (hazard rate) pada distribusi Gamma dengan menggunakan Teorema Glaser. Hasil dari penelitian ini menunjukkan bahwa pola atau bentuk laju hazard dapat diduga oleh ߟ′(ݐ) = 0 dan tanda dari koefisien-koefisiennya dan karakteristik hazard rate distribusi gamma adalah konstan, Increasing, dan Decreasing.",,http://repository.lppm.unila.ac.id/id/eprint/6720,2013-12-10 00:00:00.000000000,article,"[{'id': None, 'name': {'given': 'Selvi Nila', 'honourific': None, 'lineage': None, 'family': 'Puspita'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Warsono', 'given': 'Warsono'}, 'id': 'klppm@kpa.unila.ac.id'}, {'id': 'widiarti08@gmail.com', 'name': {'lineage': None, 'family': 'Widiarti', 'honourific': None, 'given': 'Widiarti'}}]",Identifikasi Karakteristik Hazard Rate Distribusi Gamma Dengan Menggunakan Teorema Glaser,TRUE,2018-04-25 08:05:56,6720,archive,show,1-4,516,,,2018-04-25 08:05:56,"[{'format': 'text', 'docid': 19689, 'main': 'Prosiding BKS BTN B 2013 Selvi Nila P_Warsono_Widiarti.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-04-16 08:07:34', 'filesize': 209297, 'objectid': 19689, 'uri': 'http://repository.lppm.unila.ac.id/id/file/61773', 'filename': 'Prosiding BKS BTN B 2013 Selvi Nila P_Warsono_Widiarti.pdf', 'fileid': 61773, 'datasetid': 'document', 'hash': '52bcec2b91c5fa371b0fd47ec56dc5a9', 'mime_type': 'application/pdf'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 6720, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19689'}]",,,,,,,,
23,"Fakultas Matematika dan Ilmu Pengetahuan Alam, Universitas Lampung",Ketakbiasan Dalam Model Analisis Faktor Konfirmatori (CFA) Pada Metode Pendugaan Kuadrat Terkecil Terboboti (Weighted Least Square) Untuk Data Ordinal,['FMIPA9'],disk0/00/00/67/11,public,2018-04-25 08:10:00,6,pub,published,['QA'],"Dalam penelitian bidang ilmu sosial sering kali peneliti dihadapkan pada suatu permasalahan yang
melibatkan data peubah ganda, terutama melibatkan faktor yang tidak dapat diukur secara langsung
(unobservable factor) atau disebut dengan peubah laten. Karena itu digunakan Analisis Faktor Konfirmatori
untuk mengkonfirmasikan model yang dihipotesiskan. Kadang kala dalam penelitian ketakbiasan diabaikan,
padahal ketakbiasan merupakan hal terpenting. Untuk itu dilakukan pendugaan dengan metode pendugaan
Kuadrat Terkecil Terboboti atau Weighted Least Square (WLS). Penelitian ini bertujuan untuk melihat
ketakbiasan pada sampel berukuran 150, 200, 250 dan 300 menggunakan metode WLS dan sebagai ukuran
pembanding menggunakan indeks kecocokan model dalam CFA pada data ordinal dan membuktikan dalil
limit pusat yang mengatakan ukuran sampel semakin besar maka akan semakin normal pada data ordinal. Kelebihan WLS adalah tidak bergantung pada asumsi normalitas data dan memiliki sifat tak bias juga statistik cukup. Dari hasil penelitian ini dapat disimpulkan bahwa pendugaan parameter dengan metode WLS sesuai dengan dalil limit pusat, pola nilai pada setiap uji kecocokan model pada analisis faktor konfirmatori yang diperoleh semakin menghasilkan nilai terbaik ketika ukuran sampel semakin besar, dan pada sampel 300 memiliki bias yang lebih kecil dari pada sampel ukuran 150, 200, dan 250.",,http://repository.lppm.unila.ac.id/id/eprint/6711,2013-05-10 00:00:00.000000000,article,"[{'name': {'given': 'Rachmah Cahaya', 'family': 'Rizky', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'given': 'Eri', 'family': 'Setiawan', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Nusyirwan', 'family': 'Nusyirwan', 'lineage': None, 'honourific': None}, 'id': 'Nusyirwan@fmipa.unila.ac.id'}]",Ketakbiasan Dalam Model Analisis Faktor Konfirmatori (CFA) Pada Metode Pendugaan Kuadrat Terkecil Terboboti (Weighted Least Square) Untuk Data Ordinal,TRUE,2018-04-25 08:10:00,6711,archive,show,1-6,713,,,2018-04-25 08:10:00,"[{'placement': 1, 'eprintid': 6711, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19680', 'security': 'public', 'main': 'Prosiding BKS PTN B 2013_Rachmah cahaya rizky_Eri S_Nusyirwan.pdf', 'files': [{'mtime': '2018-04-16 05:57:27', 'hash_type': 'MD5', 'filename': 'Prosiding BKS PTN B 2013_Rachmah cahaya rizky_Eri S_Nusyirwan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61718', 'objectid': 19680, 'filesize': 585536, 'hash': '735f67270d9a5e5a8fa48f97890d8491', 'mime_type': 'application/pdf', 'fileid': 61718, 'datasetid': 'document'}], 'docid': 19680, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,,,,,,,
24,FMIPA Universitas Lampung,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/68/01,public,2018-04-25 04:33:47,6,pub,published,['QA'],"Dalam penelitian bidang ilmu sosial sering kali peneliti dihadapkan pada suatu permasalahan yang melibatkan data peubah ganda, terutama melibatkan faktor yang tidak dapat diukur secara langsung (unobservable factor) atau disebut dengan peubah laten. Karena itu digunakan Analisis Faktor Konfirmatori untuk mengkonfirmasikan model yang dihipotesiskan. Kadang kala dalam penelitian ketakbiasan diabaikan, padahal ketakbiasan merupakan hal terpenting. Untuk itu dilakukan pendugaan dengan metode pendugaan Kuadrat Terkecil Terboboti atau Weighted Least Square (WLS). Penelitian ini bertujuan untuk melihat ketakbiasan pada sampel berukuran 150, 200, 250 dan 300 menggunakan metode WLS dan sebagai ukuran pembanding menggunakan indeks kecocokan model dalam CFA pada data ordinal dan membuktikan dalil limit pusat yang mengatakan ukuran sampel semakin besar maka akan semakin normal pada data ordinal. Kelebihan WLS adalah tidak bergantung pada asumsi normalitas data dan memiliki sifat tak bias juga statistik cukup. Dari hasil penelitian ini dapat disimpulkan bahwa pendugaan parameter dengan metode WLS sesuai dengan dalil limit pusat, pola nilai pada setiap uji kecocokan model pada analisis faktor konfirmatori yang diperoleh semakin menghasilkan nilai terbaik ketika ukuran sampel semakin besar, dan pada sampel 300 memiliki bias yang lebih kecil dari pada sampel ukuran 150, 200, dan 250.",1.0,http://repository.lppm.unila.ac.id/id/eprint/6801,2013-05-10 00:00:00.000000000,article,"[{'name': {'given': 'Rachmah Cahaya', 'family': 'Rizky', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'given': 'Eri', 'honourific': None, 'lineage': None, 'family': 'Setiawan'}, 'id': None}, {'id': 'Nusyirwan@fmipa.unila.ac.id', 'name': {'family': 'Nusyirwan', 'lineage': None, 'honourific': None, 'given': 'Nusyirwan'}}]",Ketakbiasan Dalam Model Analisis Faktor Konfirmatori (CFA) Pada Metode Pendugaan Kuadrat Terkecil Terboboti (Weighted Least Square) Untuk Data Ordinal,TRUE,2018-04-25 04:33:47,6801,archive,show,1-6,433,1.0,http://fmipa.unila.ac.id/,2018-04-25 04:33:47,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'mtime': '2018-04-24 06:22:34', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62268', 'filename': 'Prosiding BKS PTN B 2013_Rachmah cahaya rizky_Eri S_Nusyirwan.pdf', 'filesize': 585536, 'objectid': 19773, 'mime_type': 'application/pdf', 'hash': '735f67270d9a5e5a8fa48f97890d8491', 'fileid': 62268, 'datasetid': 'document'}], 'main': 'Prosiding BKS PTN B 2013_Rachmah cahaya rizky_Eri S_Nusyirwan.pdf', 'docid': 19773, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19773', 'pos': 1, 'eprintid': 6801, 'placement': 1}]",,,,,,,,
25,FMIPA Unila,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/68/30,public,2018-04-25 06:35:36,6,pub,published,['QA'],"Misalkan R adalah ring (tidak harus komutatif) dan A adalah R-modul. R-modul A dikatakan sederhana jika modul tersebut hanya memiliki submodul {0} dan A. Dengan demikian, R-modul A siklik, indecomposable, dan memiliki length tepat 1. Salah satu Teorema terkait dengan modul sederhana adalah Teorema Jacobson Density dimana misalkan R ring primitif dan R-modul A sederhana. Jika A adalah ruang vektor atas ring divisi D=Hom R (A,A), maka R isomorfis pada suatu dense endomorfisma D-ruang vektor A.",1.0,http://repository.lppm.unila.ac.id/id/eprint/6830,2013-05-10 00:00:00.000000000,article,"[{'id': None, 'name': {'family': 'Santoso', 'lineage': None, 'honourific': None, 'given': 'Budi'}}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'given': 'Fitriani', 'honourific': None, 'family': 'Fitriani', 'lineage': None}}, {'id': 'faisol_mathunila@yahoo.co.id', 'name': {'given': 'Ahmad', 'family': 'Faisol', 'lineage': None, 'honourific': None}}]",Teorema Jacobson Density,TRUE,2018-04-25 06:35:36,6830,archive,show,1-8,263,1.0,,2018-04-25 06:35:36,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19803', 'security': 'public', 'placement': 1, 'eprintid': 6830, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 19803, 'main': 'Prosiding BKS PTN B 2013 Budi Santoso.pdf', 'files': [{'fileid': 62549, 'datasetid': 'document', 'hash': 'bdbeeb683f3a4d73f7b4378da9f35926', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-04-25 05:00:28', 'filesize': 187728, 'objectid': 19803, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62549', 'filename': 'Prosiding BKS PTN B 2013 Budi Santoso.pdf'}], 'format': 'text'}]",,,,,,,,
26,FMIPA Universitas Lampung,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/68/02,public,2018-04-25 04:33:25,6,pub,published,['QA'],"Dalam penelitian sosial seringkali dijumpai masalah hubungan kausal apalagi peubah hubungan tersebut bersifat unobservable factor dan dilakukan dengan analisis faktor konfirmatori (CFA). Bagi pengguna kadangkala ketakbiasan sering diabaikan, padahal hal ini adalah hal yang terpenting dalam penelitian untuk itu dilakukan penelitian metode pendugaan kuadrat terkecil terboboti diagonal (DWLS) dengan kelebihannya metode ini tidak bergantung pada distribusi data dan mempunyai sifat penduga yang tak bias dan statistik lengkap. Penelitian ini digunakan untuk mengkaji dan mengetahui ketakbiasan metode kuadrat terkecil terboboti diagonal (Diagonally Weighted Least Squares, DWLS) pada ukuran sampel 150, 200, 250, dan 300 dalam model CFA untuk data ordinal dan membuktikan kebenaran dalil limit pusat. Berdasarkan hasil penelitian diperoleh bahwa dalil limit pusat pada metode ini terbukti, jika n cukup besar maka data akan menyebar normal (μ,σ^2) dan dari penelitian ini didapat nilai bias dan keragaman dugaan parameter yang relatif kecil dari metode, ini menunjukkan kekonsistenan metode. Semakin besar ukuran sampel, maka estimasi yang dihasilkan semakin baik dan konsisten.",1.0,http://repository.lppm.unila.ac.id/id/eprint/6802,2013-05-10 00:00:00.000000000,article,"[{'name': {'honourific': None, 'family': 'Sari', 'lineage': None, 'given': 'Indah Permata'}, 'id': 'dava_cheers@yahoo.co.id'}, {'name': {'family': 'Setiawan', 'lineage': None, 'honourific': None, 'given': 'Eri'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Nusyirwan', 'given': 'Nusyirwan'}, 'id': 'Nusyirwan@fmipa.unila.ac.id'}]",Ketakbiasan Dalam Model CFA (Confirmatory Factor Analysis) Pada Metode Estimasi DWLS (Diagonally Weighted Least Squares) Untuk Data Ordinal,TRUE,2018-04-25 04:33:25,6802,archive,show,1-8,433,1.0,http://fmipa.unila.ac.id/,2018-04-25 04:33:25,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'fileid': 62274, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'a28f1f5f113379899b2fdbbf60add1f5', 'filesize': 795007, 'objectid': 19774, 'filename': 'Prosiding BKS PTN B Indah Permata Sari_Eri S_Nusyirwan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62274', 'hash_type': 'MD5', 'mtime': '2018-04-24 06:27:11'}], 'main': 'Prosiding BKS PTN B Indah Permata Sari_Eri S_Nusyirwan.pdf', 'docid': 19774, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19774', 'pos': 1, 'eprintid': 6802, 'placement': 1}]",,,,,,,,
27,"Fakultas Matematika dan Ilmu Pengetahuan Alam, Universitas Lampung",Ketakbiasan Dalam Model CFA (Confirmatory Factor Analysis) Pada Metode Estimasi DWLS (Diagonally Weighted Least Squares) Untuk Data Ordinal,['FMIPA9'],disk0/00/00/67/12,public,2018-04-25 08:09:49,6,pub,published,['QA'],"Dalam penelitian sosial seringkali dijumpai masalah hubungan kausal apalagi peubah hubungan tersebut bersifat nobservable factor dan dilakukan dengan analisis faktor konfirmatori (CFA). Bagi pengguna kadangkala ketakbiasan sering diabaikan, padahal hal ini adalah hal yang terpenting dalam penelitian untuk itu dilakukan penelitian metode pendugaan kuadrat terkecil terboboti diagonal (DWLS) dengan kelebihannya metode ini tidak bergantung pada distribusi data dan mempunyai sifat penduga yang tak bias dan statistik lengkap. Penelitian ini digunakan untuk mengkaji dan mengetahui ketakbiasan metode kuadrat terkecil terboboti diagonal (Diagonally Weighted Least Squares, DWLS) pada ukuran sampel 150, 200, 250, dan 300 dalam model CFA untuk data ordinal dan membuktikan kebenaran dalil limit pusat. Berdasarkan hasil penelitian diperoleh bahwa dalil limit pusat pada metode ini terbukti, jika n cukup besar maka data akan menyebar normal (μ,σ2) dan dari penelitian ini didapat nilai bias dan keragaman dugaan parameter yang relatif kecil dari metode, ini menunjukkan kekonsistenan metode.
Semakin besar ukuran sampel, maka estimasi yang dihasilkan semakin baik dan konsisten.",,http://repository.lppm.unila.ac.id/id/eprint/6712,2013-05-10 00:00:00.000000000,article,"[{'id': None, 'name': {'lineage': None, 'family': 'Sari', 'honourific': None, 'given': 'Indah permata'}}, {'id': None, 'name': {'given': 'Eri', 'lineage': None, 'family': 'Setiawan', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Nusyirwan', 'honourific': None, 'given': 'Nusyirwan'}, 'id': 'Nusyirwan@fmipa.unila.ac.id'}]",Ketakbiasan Dalam Model CFA (Confirmatory Factor Analysis) Pada Metode Estimasi DWLS (Diagonally Weighted Least Squares) Untuk Data Ordinal,TRUE,2018-04-25 08:09:49,6712,archive,show,1-8,713,,,2018-04-25 08:09:49,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19681', 'security': 'public', 'placement': 1, 'eprintid': 6712, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Prosiding BKS PTN B Indah Permata Sari_Eri S_Nusyirwan.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-04-16 06:02:54', 'filesize': 795007, 'objectid': 19681, 'uri': 'http://repository.lppm.unila.ac.id/id/file/61724', 'filename': 'Prosiding BKS PTN B Indah Permata Sari_Eri S_Nusyirwan.pdf', 'fileid': 61724, 'datasetid': 'document', 'hash': 'a28f1f5f113379899b2fdbbf60add1f5', 'mime_type': 'application/pdf'}], 'docid': 19681, 'format': 'text'}]",,,,,,,,
28,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,Hubungan Kekongruenan Dalam Geometri Terhingga,['FMIPA9'],disk0/00/00/67/29,public,2018-04-25 08:03:42,6,pub,published,['QA'],"Aksioma – aksioma terkait untuk geometri insidensi Euclid berdimensi n dapat dipenuhi dengan model – model berhingga, yaitu model – model yang memuat hanya sejumlah hingga titik, garis, bidang dll. Model – model ini adalah ruang vektor linier berdimensi n atas Lapangan hingga GFq dengan q = p^h.
Masalahnya adalah aksioma – aksioma urutan dan aksioma – aksioma kekongruenan dapat dipenuhi dalam geometri berhingga. Untuk kasus h ≠ 1, penggantian aksioma 3 dalam paper ini memberikan hasil yang lebih baik dibandingkan dengan hasil sebelumnya.",1.0,http://repository.lppm.unila.ac.id/id/eprint/6729,2013-05-10 00:00:00.000000000,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Sari', 'given': 'Lina Ardila'}, 'id': None}, {'id': 'suharsono.1962@fmipa.unila.ac.id', 'name': {'given': 'Suharsono', 'honourific': None, 'family': 'Suharsono', 'lineage': None}}, {'id': 'ansomath@yahoo.com', 'name': {'lineage': None, 'family': 'Ansori', 'honourific': None, 'given': 'Muslim'}}]",Hubungan Kekongruenan Dalam Geometri Terhingga,TRUE,2018-04-25 08:03:42,6729,archive,show,1-5,1012,1.0,,2018-04-25 08:03:42,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'datasetid': 'document', 'fileid': 61823, 'hash': 'dfdf1082e817e4278df1f66886c46bd8', 'mime_type': 'application/pdf', 'filesize': 133085, 'objectid': 19698, 'uri': 'http://repository.lppm.unila.ac.id/id/file/61823', 'filename': 'Prosiding BKS PTN B 2013 Lina Ardila Sari_Suharsono_Muslim A.pdf', 'hash_type': 'MD5', 'mtime': '2018-04-17 07:00:23'}], 'main': 'Prosiding BKS PTN B 2013 Lina Ardila Sari_Suharsono_Muslim A.pdf', 'docid': 19698, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19698', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6729}]",,,,,,,,
29,FMIPA Universitas Lampung,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/67/71,public,2018-04-25 07:52:07,6,pub,published,['QA'],"Connectivity dalam graf terbagi menjadi 2, yaitu vertex-connectivity dan edge-connectivity. Penelitian ini bertujuan untuk membahas Teorema Whitney pada graf 2-connected dan Teorema Menger pada connectivity. Dari hasil penelitian ini didapat bahwa graf 2-connected minimal mempunyai tiga vertex dengan satu pasang internally disjoint path, sedangkan dalam teorema Menger yang akan didiskusikan kesetaraan
jumlah maksimum dari pasangan internally disjoint path dengan jumlah minimum vertex connectivity dalam suatu graf k-connected.",1.0,http://repository.lppm.unila.ac.id/id/eprint/6771,2013-05-10 00:00:00.000000000,article,"[{'id': 'devi_vio9@yahoo.com', 'name': {'given': 'Devi Octaria', 'family': 'Siahaan', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Wamiliana', 'given': 'Wamiliana'}, 'id': 'wamiliana@gmail.com'}, {'name': {'honourific': None, 'family': 'Fitriani', 'lineage': None, 'given': 'Fitriani'}, 'id': 'fitriani_mathunila@yahoo.co.id'}]",Keterhubungan Suatu Graf Dipandang Dari Teorema Whitney dan Teorema Menger,TRUE,2018-04-25 07:52:07,6771,archive,show,1-7,791,1.0,http://fmipa.unila.ac.id/,2018-04-25 07:52:07,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'fileid': 62066, 'hash': '611490f11aad0936dd3e598e9bbc8dd4', 'mime_type': 'application/pdf', 'filesize': 357931, 'objectid': 19738, 'filename': 'Prosiding BKS PTN B 2013 Devi Octaria_Wamiliana_Fitriani.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62066', 'hash_type': 'MD5', 'mtime': '2018-04-20 03:21:26'}], 'main': 'Prosiding BKS PTN B 2013 Devi Octaria_Wamiliana_Fitriani.pdf', 'docid': 19738, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19738', 'security': 'public', 'placement': 1, 'eprintid': 6771}]",,,,,,,,
30,FMIPA Unila,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/68/32,public,2018-04-25 06:33:40,6,pub,published,['QA'],"Connectivity dalam graf terbagi menjadi 2, yaitu vertex-connectivity dan edge-connectivity. Penelitian ini bertujuan untuk membahas Teorema Whitney pada graf 2-connected dan Teorema Menger pada connectivity. Dari hasil penelitian ini didapat bahwa graf 2-connected minimal mempunyai tiga vertex dengan satu pasang internally disjoint path, sedangkan dalam teorema Menger yang akan didiskusikan kesetaraan jumlah maksimum dari pasangan internally disjoint path dengan jumlah minimum vertex connectivity dalam suatu graf k-connected.",1.0,http://repository.lppm.unila.ac.id/id/eprint/6832,2013-05-10 00:00:00.000000000,article,"[{'id': None, 'name': {'family': 'Siahaan', 'lineage': None, 'honourific': None, 'given': 'Devi Octaria'}}, {'id': 'wamiliana@gmail.com', 'name': {'lineage': None, 'family': 'Wamiliana', 'honourific': None, 'given': 'Wamiliana'}}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'given': 'Fitriani', 'lineage': None, 'family': 'Fitriani', 'honourific': None}}]",Keterhubungan Suatu Graf Dipandang dari Teorema Whitney dan Teorema Menger,TRUE,2018-04-25 06:33:40,6832,archive,show,1-7,263,1.0,,2018-04-25 06:33:40,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 19805, 'main': 'Prosiding BKS PTN B 2013 Devi Octaria_Wamiliana_Fitriani.pdf', 'files': [{'filesize': 357931, 'objectid': 19805, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62558', 'filename': 'Prosiding BKS PTN B 2013 Devi Octaria_Wamiliana_Fitriani.pdf', 'hash_type': 'MD5', 'mtime': '2018-04-25 05:10:35', 'datasetid': 'document', 'fileid': 62558, 'hash': '611490f11aad0936dd3e598e9bbc8dd4', 'mime_type': 'application/pdf'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19805', 'eprintid': 6832, 'placement': 1}]",,,,,,,,
31,,,['FMIPA9'],disk0/00/00/34/75,public,2017-06-12 02:03:29,8,pub,published,['QA'],"Pendugaan langsung pada parameter area kecil yang heterogen akan menghasilkan pendugaan yang tidak
bias namun keragamannya sangat besar sehingga mengakibatkan pendugaan ini kurang valid. Untuk mengatasi
masalah ini, Pendugaan pada area kecil dapat diduga dengan menggunakan pendugaan tidak langsung. Tujuannya
adalah untuk menekan keragaman yang besar pada area kecil. Pendugaan tidak langsung pada area kecil
memanfaatkan informasi dari area sekitarnya yang berhubungan dengan parameter yang menjadi perhatian. Ada
beberapa metode pada pendugaan tidak langsung yaitu Empirical Bayes (EB), Empirical Best Linear Unbiased
Prediction (EBLUP), dan Hierarchical Bayes (HB). Penelitian ini dilakukan pada data kontinu dengan metode
EBLUP yang mengaplikasikan metode GLS sebagai metode penduga parameternya. Kajian secara teori menunjukkan
bahwa penduga parameter yang dihasilkan oleh metode GLS merupakan penduga tak bias dengan varians minimum.
Hasil yang sama juga diperoleh secara empiris melalui simulasi dengan software R.2.10.1.

Kata Kunci: Pendugaan Area Kecil, EBLUP, Tak-bias, Varians minimum",,http://repository.lppm.unila.ac.id/id/eprint/3475,2013-05-12 00:00:00.000000000,conference_item,"[{'name': {'given': 'M. Adi', 'honourific': None, 'lineage': None, 'family': 'Sidauruk'}}, {'name': {'given': 'Dian', 'honourific': None, 'family': 'Kurniasari', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Widiarti', 'lineage': None, 'given': 'Widiarti'}}]","Karakteristik Pendugaan Emperical Best Linear Unbiased
Prediction (EBLUP) Pada Pendugaan Area Kecil",TRUE,2017-06-12 02:03:29,3475,archive,show,339-343,752,,,2017-06-12 02:03:29,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3346', 'eprintid': 3475, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Prosiding BKS PTN B 2013 Matheus Adi Sidauruk_Dian Kurniasari_Widiarti.pdf', 'docid': 3346, 'files': [{'mime_type': 'application/pdf', 'hash': '8bb4bd1027943bba3e8da6fe85648e1a', 'fileid': 24091, 'datasetid': 'document', 'filename': 'Prosiding BKS PTN B 2013 Matheus Adi Sidauruk_Dian Kurniasari_Widiarti.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/24091', 'objectid': 3346, 'filesize': 2593377, 'mtime': '2017-06-06 08:54:34', 'hash_type': 'MD5'}]}]",,10-12 Mei 2015,paper,"Universitas Lampung, Bandar Lampung",conference,SEMINAR DAN RAPAT TAHUNAN (SEMIRATA) BIDANG ILMU MIPA 2013 BKS PTN BARAT,,
