,subjects,book_title,abstract,uri,date,publisher,dir,divisions,status_changed,full_text_status,rev_number,ispublished,eprint_status,editors,eprintid,datestamp,metadata_visibility,contributors,userid,documents,lastmod,type,creators,refereed,title,place_of_pub,volume,projects,publication,funders,issn,keywords,pages,contact_email,official_url,number,pagerange,date_type,isbn,event_dates,pres_type,event_location,event_type,related_url,event_title,corp_creators,id_number,department,institution,monograph_type
20,"['GN', 'HM']",,"Lampung, orang mengenalnya sebagai sebuah provinsi di ujung Selatan pulau Sumatera, Indonesia. Namun, buku ini bukan bicara tentang Lampung sebagai sebuah kawasan, melainkan Lampung sebagai sebuah kelompok masyarakat adat dan Lampung sebagai etnik yang memiliki kebudayaannya sendiri. Masyarakat Adat Lampung memiliki kekayaan budaya yang tak ternilai harganya, mulai dari sistem pengetahuan, kesenian, tradisi, kepercayaan, system perkawinan, nilai-nilai luhur dalam kehidupan dan lain sebagainya. Namun dikarenakan kawasan Lampung adalah kawasan kolonisasi dan transmigrasi, sehingga etnik Lampung menjadi populasi yang lebih sedikit dibandingkan dengan transmigran Jawa yang hampir 60% berada di Lampung, sehingga banyak kebudayaan Lampung yang kemudian mengalami perubahan, akulturasi, asimilasi dan amalgamasi. Bahkan kebudayaan Lampung sangat sedikit dan minim untuk dicatat dalam tulisan-tulisan ilmiah. Buku ini berusaha untuk menggali sejarah dan budaya salah satu masyarakat adat di Lampung yakni marga Buay Bahuga yang ada di Kabupaten Way Kanan.",http://repository.lppm.unila.ac.id/id/eprint/25392,2020-09,AURA Publishing,disk0/00/02/53/92,['FISIP7'],2020-11-16 01:48:41,public,8,pub,archive,,25392,2020-11-16 01:48:41,show,,314,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 39176, 'main': 'BAHUGA.pdf', 'files': [{'hash': 'b6e9386d6875bd30b24f6579bdae7a2f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 229097, 'mtime': '2020-11-15 23:59:07', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/229097', 'filename': 'BAHUGA.pdf', 'filesize': 11005164, 'objectid': 39176}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/39176', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 25392}]",2020-11-16 01:48:41,monograph,"[{'id': None, 'name': {'family': 'Nurdin', 'lineage': None, 'honourific': None, 'given': 'Bartoven Vivit'}}, {'name': {'family': 'Asnani', 'lineage': None, 'honourific': None, 'given': 'Asnani'}, 'id': 'Asnani.mulilampung85@gmail.com'}, {'id': 'Wan_abbas@yahoo.com', 'name': {'honourific': None, 'family': 'Zakaria', 'lineage': None, 'given': 'Wan Abbas'}}]",,Mesir Ilir Marga Buay Bahuga : Sebuah Etnografi,Bandar Lampung,,,,,,,,,,,,published,,,,,,,,,9786232112223,Sosiologi,Universitas Lampung,project_report
21,"['GN', 'HM']",,"Penelitian ini mengenai ngebetten, yaitu suatu proses rekontruksi identitas dalam pengambilan gelar adat (juluk adok) pada masyarakat adat Keratuan Melinting Lampung Timur. Meskipun dalam kekuatiran akan kepunahannya, namun saat ini orang berlomba- lomba lagi untuk mengambil gelar adat melalui ngebetten, meskipun bukan karena keturunan sekalipun. Prosesinya disebut dengan Bejeneng. Bejeneng merupakan salah satu rangkaian upacara pengambilan gelar adat pada masyarakat adat Keratuan Melinting Lampung. Penelitian ini sangat penting dilakukan karena dibalik kekuatiran akan kepunahan budaya Lampung, namun rekonstruksi identitas melalui pemberian gelar pada upacara adat semakin sering dilakukan. Hal ini berkaitan dengan pentingnya identitas baru bagi para komunitas tersebut. Sehingga penelitian akan difokuskan pada proses ritual ngebetten dan analisis rekonstruksi identitas. Penelitian ini menggunakan metode penelitian Kualitatif, dengan teknik pengambilan data wawancara mendalam, pengamatan terlibat dan dokumentasi. Analisis data dilakukan dengan triangulasi, peer review dan member check.",http://repository.lppm.unila.ac.id/id/eprint/31360,2020-03-01,"FISIP, Universitas Lampung",disk0/00/03/13/60,['FISIP7'],2021-05-30 15:31:42,public,7,pub,archive,,31360,2021-05-30 15:31:42,show,,314,"[{'docid': 141707, 'main': '2. Yuni Ratnasari.pdf', 'files': [{'filesize': 335151, 'objectid': 141707, 'uri': 'http://repository.lppm.unila.ac.id/id/file/371508', 'filename': '2. Yuni Ratnasari.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-30 05:32:25', 'datasetid': 'document', 'fileid': 371508, 'hash': '876982edaa6a27e49e3371dd52468991', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 31360, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141707', 'security': 'public'}]",2021-05-30 15:31:42,article,"[{'id': 'bartovenvivit@gmail.com', 'name': {'lineage': None, 'family': 'Nurdin', 'honourific': None, 'given': 'Bartoven Vivit'}}, {'name': {'given': 'YR', 'lineage': None, 'family': 'yuni ratnasari', 'honourific': None}, 'id': 'iickmaniez@yahoo.com'}, {'name': {'family': 'Sidemen', 'lineage': None, 'honourific': None, 'given': 'i Gede'}, 'id': 'igede.sidemen@fisip.unila.ac.id'}]",TRUE,NGEBETTEN : Rekonstruksi Identitas dan Juluk Adok pada Masyarakat Adat Keratuan Melinting Lampung,,22.0,,Jurnal Sosiologi,,14110040,,,,,1.0,1-23,published,,,,,,,,,,,,
22,"['H1', 'HM']",,"The fact is that practice of giving exlusive breastfeeding has not reached favorable numberin
some developing countries because of various factors. This study aims to determine the relationship
between the level of education of mothers, the occupation of mothers, and social support for mothers and
breastfeeding behavior. The important hypothesis of this study, therefore, is that aspects of economy,
environment, social, culture, and politics can influence mothers to breastfeed their babies. Secondary
data from the Indonesian Family Life Survey (IFLS) 5 in 2014was employed. The total sample in this study
was 5,108 people. STATA software version 13.0 with a probity model was used to analyze the data.
Statistical test technique usingChi-square (X2) and multiple linear regressions were conducted. Results of
this study indicate that there is no relationship between the level of education of mothers, and the
occupation of mothers and breastfeeding behavior. However, there is a strong relationship between social
support and breastfeeding behavior. Therefore, this study suggests that there is a need to develop the
capacity of traditional midwives in order to increase the prevalence of women for breastfeeding.
Keywords:
level of education of mothers, the occupation of mothers, social support, breastfeeding
behavior, indonesia.",http://repository.lppm.unila.ac.id/id/eprint/25992,2020,Global Journal Inc,disk0/00/02/59/92,['FISIP7'],2020-11-18 04:53:15,public,7,pub,archive,,25992,2020-11-18 04:53:15,show,,950,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/39819', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 25992, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'GJHSS_(C)_Vol_20_Issue_1 (Sindung).pdf', 'docid': 39819, 'files': [{'datasetid': 'document', 'fileid': 234592, 'hash': 'cac0dab8a3f1f896784126a7fb8887f7', 'mime_type': 'application/pdf', 'filesize': 696942, 'objectid': 39819, 'filename': 'GJHSS_(C)_Vol_20_Issue_1 (Sindung).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/234592', 'hash_type': 'MD5', 'mtime': '2020-11-18 03:27:47'}], 'format': 'text'}]",2020-11-18 04:53:15,article,"[{'id': 'sindungharyanto@yahoo.co.id', 'name': {'given': 'Sindung', 'family': 'Sindung Haryanto', 'lineage': None, 'honourific': None}}]",TRUE,Factors Associated with Breastfeeding Practice in Indonesia,,20.0,,Global Journal of Human Social Science: C Sociology and Culture,,2249-460X,,,,,1.0,,,,,,,,,,,,,,
23,['HM'],,"Abstrak. Tujuan  umum  dilakukan  kegiatan  pengabdian  kepada  masyarakat  ini  adalah mensosialisasikan pengembangan desa wisata berbasis budaya di Desa Maja, Kecamatan Kalianda, Lampung Selatan. Kegiatan pengabdian kepada masyarakat ini menggunakan metode ceramah dan diskusi. Metode ceramah  dan  diskusi  di  dalam  ruangan  yang  digunakan  untukmenyajikan  materi.  Adapun  materi yang  akan  diberikan  adalah  peranan  kepala  pemerintahan  adat  dalam  mewujudkan  desa  wisata, peranan aparat desa adat dalam mewujudkan desa wisata berbasis budaya,pelayanan publik yang efektif dan efisiendalam mewujudkan desawisata berbasis budaya, dan penguatan kelembahan dan sinergitas antara pemerintah adat dan aparat desa dalam mewujudkan desa wisata berbasis budaya. Berdasarkan  hasil  evaluasi  dilapangan  dapat  disimpulkan  bahwa  setelah  peserta  mengikuti penyuluhan,  pemahaman  peserta  terhadap  materi  yang  diberikan  meningkat  sebesar  18,67  %. Pemahaman  peserta  sebelum  dilakukannya  tugas  pokok  dan  fungsi  tokoh  adat  sebesar  60,67, sedangkan setelah dilakukannya penyuluhan menunjukkan adanya meningkatan nilai menjadi 79,33. Hal ini menunjukkan bahwa pemahaman masyarakat tentang merevitalisasi strategi pengembangan desa wisata berbasis budaya menjadi meningkat. Selain itu, peserta juga terlihat antusiasme peserta mengajukan pertanyaan terkait dengan materi yang diberikan.

Kata Kunci: Desa Wisata, Budaya Lokal, Wisata Budaya",http://repository.lppm.unila.ac.id/id/eprint/31962,2020-12-24,LPPM Universitas Lampung,disk0/00/03/19/62,['FISIP7'],2021-06-04 01:35:53,public,6,pub,archive,,31962,2021-06-04 01:35:53,show,,1144,"[{'format': 'text', 'main': '19-Article Text-22-1-10-20201229.pdf', 'docid': 144792, 'files': [{'datasetid': 'document', 'fileid': 378248, 'mime_type': 'application/pdf', 'hash': '8e022478dbddb818a78b8f9d24be43f2', 'hash_type': 'MD5', 'mtime': '2021-06-03 16:41:23', 'filesize': 266485, 'objectid': 144792, 'filename': '19-Article Text-22-1-10-20201229.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/378248'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 31962, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144792'}]",2021-06-04 01:35:53,article,"[{'id': 'suwarno.1965@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Suwarno', 'lineage': None, 'given': 'Suwarno'}}, {'id': 'pairulsyah.1963@fisip.unila.ac.id', 'name': {'family': 'Pairulsyah', 'lineage': None, 'honourific': None, 'given': 'Pairulsyah'}}, {'name': {'given': 'Abdulsyani', 'family': 'Abdulsyani', 'lineage': None, 'honourific': None}, 'id': 'abdul.syani@fisip.unila.ac.id'}]",TRUE,"Strategi Pengembangan Desa Wisata Berbasis Budaya di Desa Maja, Kecamatan Kalianda, Kabupaten LampungSelatan",,1.0,,Sumbangsih: Jurnal Pengabdian kepada Masyarakat Universitas Lampung,,,,,,https://sumbangsih.lppm.unila.ac.id/index.php/jsh,18.0,124-129,published,,,,,,,,,,,,
24,['S1'],"Covid19 & Disrupsi Tatanan Sosial Budaya, Ekonomi, Politik dan Multi","Virus corona baru atau novel corona virus (nCoV) adalah jenis virus corona baru yang menimbulkan penyakit yang kita kenal sebagai Covid -19. Sebelumnya, penyakitnya ini dikenal sebagai virus corona baru 2019 atau 2019-nCoV. Tulisan ini dimulai dengan membahas Fakta Tentang COVID-19 Terkait Dengan Bahan Pangan, Penanganan Prapanen Buah di Era New Normal, Penanganan Pascapanen Buah di Era New Normal.",http://repository.lppm.unila.ac.id/id/eprint/25230,2020,JIP FISIP Universitas Lampung,disk0/00/02/52/30,['FISIP7'],2020-11-16 01:48:19,public,8,pub,archive,"[{'id': 'syafarudin.1972@fisip.unila.ac.id', 'name': {'family': 'Syafarudin', 'lineage': None, 'honourific': None, 'given': 'Syafarudin'}}, {'name': {'family': 'Rochana', 'lineage': None, 'honourific': None, 'given': 'Erna'}, 'id': None}, {'name': {'given': 'Kussuyatmono Bagus', 'family': 'Wardianto', 'lineage': None, 'honourific': None}, 'id': 'kussuyatmono.bagus@fisip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Barnawi', 'given': 'Erizal'}, 'id': None}]",25230,2020-11-16 01:48:19,show,,1038,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 39007, 'main': 'COVID19 & DISRUPSI Rev2 Upload_removed.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/228034', 'filename': 'COVID19 & DISRUPSI Rev2 Upload_removed.pdf', 'filesize': 1063443, 'objectid': 39007, 'mtime': '2020-11-14 07:04:10', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '0d51ba3b2a147662042327e78cac0d9a', 'fileid': 228034, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39007', 'security': 'public', 'placement': 1, 'eprintid': 25230}]",2020-11-16 01:48:19,book_section,"[{'name': {'given': 'Soesiladi E.', 'honourific': None, 'lineage': None, 'family': 'Widodo'}, 'id': 'sestiwidodo@gmail.com'}]",TRUE,Ketersediaan Buah yang Sehat dan Higienis di Era New Normal,FISIP Universitas Lampung,,,,,,,0.0,,http://jip.fisip.unila.ac.id/ beranda buku,,375-385,published,978-623-6569-62-7,,,,,,,,,,,
25,['HM'],,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Laporan Penelitian,http://repository.lppm.unila.ac.id/id/eprint/37226,2020,FISIP Universitas Lampung,disk0/00/03/72/26,['FISIP7'],2021-12-09 11:10:22,public,7,unpub,archive,,37226,2021-12-09 11:10:22,show,,1144,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158127', 'security': 'public', 'placement': 1, 'eprintid': 37226, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 158127, 'main': '3. Agustus 2020.pdf', 'files': [{'hash': '4581a4828bfba0fa85a4ece581d80d7e', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 426378, 'mtime': '2021-12-09 07:45:01', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/426378', 'filename': '3. Agustus 2020.pdf', 'objectid': 158127, 'filesize': 1878255}], 'format': 'text'}]",2021-12-09 11:10:22,other,"[{'name': {'lineage': None, 'family': 'damar wibisono', 'honourific': None, 'given': 'DW'}, 'id': 'damar.wibisono@fisip.unila.ac.id'}]",,"Nilai Kearifan Lokal Sakai Sambayan (Studi pada Kehidupan Masyarakat Adat di Desa Maja, Kecamatan Kalianda, Lampung Selatan",,,,,,,,,,,,,,,,,,,,,,,,,
26,['HM'],,"ABSTRAKPenelitian ini dilakukan di lingkungan FISIP Unila untuk mengetahui dan mendeskripsikan  Proses pengenalan  dan  penggunaan  instagram  dikalangan  remaja  untuk  pertama  kalinya;  Intensitas  penggunaan  instagram  di  kalangan  remaja; Kepentingan atau moment-moment remaja dalam menggunakan  instagram;  Manfaat  yang  dirasakan  remaja  dalam  penggunaan  media  sosial instagram;  serta,  Pengaruh  penggunaan  instagram  terhadap  eksistensi  diri  remaja.  Berdasarkan hasil penelitian diketahui bahwa: Awal mula remaja mengenal media  instragram umumnya karena faktor  trendy  atau  sendang  booming  sebanyak  63,33% yang  kemudian  berpengaruh  terhadap teman  36,67%;  Intensitas  remaja  menggunakan  instagram  menghabiskan  total  1-3  jam  perhari untuk  mengakses  media  sosial  instagram  atau  83,34%;  Instagram  memberikan  manfaat  yang cukup signifikan terhadap kalangan remaja. Menurut data hasil penelitian, Instagram memberikan manfaat  sebagai  alat  pengekspresian  diri  dan  meningkatkan  rasa  kepercayaan  diri  saat mengunggah  foto/  video  di  instagram.  Hal  ini  dapat dilihat  dari  hasil  penelitian  yang  hampir seluruhnya menyatakan ya (93,33%) dan hanya sebagian kecil saja yang menyatakan biasa-biasa saja  (16,67%);  dan,  Penggunaan  Instagram  memberikan  pengaruh  yang  cukup  besar  terhadap eksistensi  seseorang,  terutama  remaja.  Hal  ini  karena  Instagram  memiliki  fitur followers  dan following, tag, dan likes. Jumlah followers yang lebih banyak jika dibandingkan dengan jumlah following menunjukkan bahwa pengguna tersebut dinilai memiliki koneksi yang cukup banyak dan meluas hingga mencapai angka ribuan, hingga jutaan.Followers ini menjadi begitu penting bagi seorang  remaja  guna  menunjukkan  eksistensi  dirinya.  Maka,  banyak  orang  yang  beranggapan bahwa banyaknya followers dijadikan sebagai tolak ukur popularitas seseorang pada media sosial, termasuk  Instagram.  Hal  ini  berimplikasi  pada  tingginya  usaha  individu    dalam  meningkatkan kepopulerannya yang berimplikasi pada meningkatkan jumlah followersnya.   

Kata Kunci: Instagram, Eksistensi Diri Remaja, Mahasiswa",http://repository.lppm.unila.ac.id/id/eprint/31955,2020-09,Sosiologi FISIP Universitas Lampung,disk0/00/03/19/55,['FISIP7'],2021-06-04 01:35:35,public,7,pub,archive,,31955,2021-06-04 01:35:35,show,,1144,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 144756, 'main': '65-Article Text-645-1-10-20210428.pdf', 'files': [{'datasetid': 'document', 'fileid': 378180, 'mime_type': 'application/pdf', 'hash': '643c7611f63ea95bc8b4ece3654710a4', 'hash_type': 'MD5', 'mtime': '2021-06-03 16:13:09', 'objectid': 144756, 'filesize': 209804, 'uri': 'http://repository.lppm.unila.ac.id/id/file/378180', 'filename': '65-Article Text-645-1-10-20210428.pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144756', 'security': 'public', 'placement': 1, 'eprintid': 31955}]",2021-06-04 01:35:35,article,"[{'id': 'damar.wibisono@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'damar wibisono', 'honourific': None, 'given': 'DW'}}]",TRUE,PENGARUH PENGGUNAAN INSTAGRAM TERHADAP EKSISTENSI DIRI REMAJA (Studi Pada Mahasiswa di Lingkungan FISIP UNILA),,22.0,,SOSIOLOGI: Jurnal Ilmiah Kajian Ilmu Sosial dan Budaya,,p-ISSN 1411-0040 dan e-ISSN 2549-7235,,,,http://jurnalsosiologi.fisip.unila.ac.id/index.php/jurnal,2.0,145-164,published,,,,,,,,,,,,
27,['H1'],,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Jurnal Ilmiah Nasional Tidak Akreditasi,http://repository.lppm.unila.ac.id/id/eprint/37236,2020,LPPM Universitas Lampung,disk0/00/03/72/36,['FISIP7'],2021-12-10 01:09:26,public,7,pub,archive,,37236,2021-12-10 01:09:26,show,,1144,"[{'placement': 1, 'eprintid': 37236, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158136', 'pos': 1, 'security': 'public', 'docid': 158136, 'main': 'Noverber_Jurnal PkM 2.pdf', 'files': [{'hash': '09adc651dc676034878792046fc7a49d', 'mime_type': 'application/pdf', 'fileid': 426446, 'datasetid': 'document', 'filename': 'Noverber_Jurnal PkM 2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/426446', 'objectid': 158136, 'filesize': 2389034, 'mtime': '2021-12-09 12:31:55', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-12-10 01:09:26,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'damar wibisono', 'given': 'DW'}, 'id': 'damar.wibisono@fisip.unila.ac.id'}]",,Pelatihan Tata Kelola Destinasi Pariwisata Berbasis Media Branding Strategy (Membangun Kerjasama Kelembagaan dan Peranserta Masyarakat untuk Mewujudkan Desa Sungai Langka sebagai Desa Wisata),,,,,,,,,,,,,,,,,,,,,,,,,
28,['HM'],,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Jurnal Nasional terakreditasi Sinta 5,http://repository.lppm.unila.ac.id/id/eprint/37221,2020,Jurusan Sosiologi FISIP Unila,disk0/00/03/72/21,['FISIP7'],2021-12-09 11:10:01,public,7,pub,archive,,37221,2021-12-09 11:10:01,show,,1144,"[{'format': 'text', 'files': [{'fileid': 426338, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '1c33126bb7f6874be89f22af56600495', 'hash_type': 'MD5', 'mtime': '2021-12-09 07:04:51', 'filesize': 2328693, 'objectid': 158122, 'uri': 'http://repository.lppm.unila.ac.id/id/file/426338', 'filename': '6. September 2020.pdf'}], 'main': '6. September 2020.pdf', 'docid': 158122, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 37221, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158122', 'pos': 1}]",2021-12-09 11:10:01,other,"[{'name': {'given': 'DW', 'honourific': None, 'lineage': None, 'family': 'damar wibisono'}, 'id': 'damar.wibisono@fisip.unila.ac.id'}]",,Pengaruh Penggunaan Instagram terhadap Eksistensi Diri Remaja (Studi pada Mahasiswa di Lingkungan FISIP Unila),,,,,,,,,,,,,,,,,,,,,,,,,
29,['H1'],,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Jurnal Ilmiah Nasional Tidak Akreditasi,http://repository.lppm.unila.ac.id/id/eprint/37235,2020,LPPM Universitas Lampung,disk0/00/03/72/35,['FISIP7'],2021-12-10 01:09:24,public,7,pub,archive,,37235,2021-12-10 01:09:24,show,,1144,"[{'files': [{'datasetid': 'document', 'fileid': 426439, 'hash': '1ac1eb76a24774f1038c5c26b1cd1839', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-12-09 12:27:56', 'filesize': 2331530, 'objectid': 158135, 'uri': 'http://repository.lppm.unila.ac.id/id/file/426439', 'filename': 'November 2020_Jurnal PkM.pdf'}], 'main': 'November 2020_Jurnal PkM.pdf', 'docid': 158135, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 37235, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158135', 'security': 'public'}]",2021-12-10 01:09:24,other,"[{'id': 'damar.wibisono@fisip.unila.ac.id', 'name': {'given': 'DW', 'family': 'damar wibisono', 'lineage': None, 'honourific': None}}]",,"Strategi Pengembangan Desa Wisata Berbasis Budaya di Desa Maja, Kecamatan Kalianda, Kabupaten Lampung Selatan",,,,,,,,,,,,,,,,,,,,,,,,,
30,['HM'],,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Jurnal Ilmiah Nasional Terindex Sinta 5,http://repository.lppm.unila.ac.id/id/eprint/37213,2020,Jurusan Sosiologi FISIP Unila,disk0/00/03/72/13,['FISIP7'],2021-12-09 06:39:01,public,7,pub,archive,,37213,2021-12-09 06:39:01,show,,1144,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158114', 'eprintid': 37213, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '5. Maret 2020.pdf', 'files': [{'datasetid': 'document', 'fileid': 426265, 'mime_type': 'application/pdf', 'hash': '965c21cd9293ab2c074b6b0c3e95d2b0', 'objectid': 158114, 'filesize': 2381079, 'uri': 'http://repository.lppm.unila.ac.id/id/file/426265', 'filename': '5. Maret 2020.pdf', 'hash_type': 'MD5', 'mtime': '2021-12-08 22:34:53'}], 'docid': 158114}]",2021-12-09 06:39:01,other,"[{'name': {'given': 'DW', 'lineage': None, 'family': 'damar wibisono', 'honourific': None}, 'id': 'damar.wibisono@fisip.unila.ac.id'}]",,Validitas Data Pemilih Potensial Pemilu (DP4) pada Pemilu Serentak 2019 di Lampung (Studi di Kabupaten Pesawaran),,,,,,,,,,,,,,,,,,,,,,,,,
31,['HM'],,"Pada hakekatnya nilai kearifan lokal sakai-sambayan dilandasi adanya prinsip kebersamaan bergotong royong masyarakat adat lokal, khususnya yang berlaku pada masyarakat adat di Desa Maja, Kecamatan Kalianda Lampung Selatan. Dalam praktiknya sakai sambayan dirasakan dapat menciptakan kerukunan hidup berkeluarga dan bermasyarakat, kususnya dalam kegiatan usaha pemenuhan kebutuhan hidup yang layak memerlukan tenaga yang lebih besar. Tujuannya adalah agar pekejaan dapat diselesaikan lebih cepat dengan biaya yang murah, di samping dapat memupuk rasa kebersamaan dan kedekatan emosional dalam hubungan antar anggota masyarakat.
Bentuk konkrit sakai-sambayan dalam kehidupan masyarakat desa menurut adat Lampung lebih tepat diterjemahkan sebagai sikap kepedulian sosial dan rasa setiakawan. Suatu keluarga yang memiliki keperdulian terhadap nilai-nilai kemanusiaan, tentunya berpandangan luas ke depan dengan motivasi kerja keras, jujur dan suka membantu orang lain.
Penelitian ini bertujuan untuk mengetahui praktik sikap perilaku kearifan lokal sakai-sambayan dalam kehidupan masyarakat adat sehari-hari di Desa Maja, Kecamatan Kalianda Lampung Selatan. Di samping untuk mengetahui realitas sikap perilaku dalam kegiatan sakai-sambayan dalam kehidupan masyarakat adat tersebut. Selanjutnya penelitian ini diharapkan dapat mengungkap berbagai faktor yang menghambat pelaksanaan sakai-sambayan di Desa setempat.
Penelitian ini menggunakan pendekatan kualitatif yang dianggap sebagai cara yang relevan untuk memperoleh informasi yang valid, khususnya tentang realitas praktik perilaku kearifan lokal sakai-sambayan dalam kehidupan masyarakat adat sehari-hari pada umumnya.
Hasil penelitan ini diharapkan dapat memberikan kontribusi dalam partisipasi upaya pelestarian dan mengembangkan nilai-nilai kearifan lokal sakai-sambayan sebagai model dalam menciptakan kebiasaan kerjasama dan penguatan persatuan masyarakat adat agar tak lekang meski diterpa arus modernisasi budaya.

Kata Kunci: Kearifan Lokal, Sakai-sambayan.",http://repository.lppm.unila.ac.id/id/eprint/37365,2020,Fakultas Ilmu Sosial dan Ilmu Politik Universitas Lampung,disk0/00/03/73/65,['FISIP7'],2021-12-20 01:42:15,public,7,unpub,archive,,37365,2021-12-20 01:42:15,show,,1144,"[{'docid': 158278, 'main': 'Damar Wibisono_2020.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/427376', 'filename': 'Damar Wibisono_2020.pdf', 'filesize': 1246289, 'objectid': 158278, 'mtime': '2021-12-19 16:04:52', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'f5d6746b3419fb8b750356ab2fbdf1dd', 'fileid': 427376, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 37365, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158278', 'security': 'public'}]",2021-12-20 01:42:15,other,"[{'id': 'damar.wibisono@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'damar wibisono', 'given': 'DW'}}, {'name': {'family': 'Abdulsyani', 'lineage': None, 'honourific': None, 'given': 'Abdulsyani'}, 'id': 'abdul.syani@fisip.unila.ac.id'}, {'id': 'sosiologifisip@fisip.unila.ac.id', 'name': {'given': 'Usman Raidar', 'family': 'Usman Raidar', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Pairulsyah', 'family': 'Pairulsyah', 'lineage': None, 'honourific': None}, 'id': 'pairulsyah.1963@fisip.unila.ac.id'}]",,"NILAI KEARIFAN LOKAL SAKAI SAMBAYAN (Studi pada Kehidupan Masyarakat Adat di Desa Maja, Kecamatan Kalianda Lampung Selatan)",,,,,,,,,,,,,,,,,,,,,,,,,
