,abstract,volume,date,uri,date_type,subjects,full_text_status,issn,status_changed,ispublished,rev_number,related_url,divisions,publisher,publication,dir,userid,number,official_url,lastmod,documents,datestamp,eprintid,eprint_status,metadata_visibility,type,creators,title,refereed,place_of_pub,isbn,pages,pagerange,book_title,referencetext,corp_creators,id_number,editors,monograph_type,institution,department,succeeds,contact_email,event_dates,pres_type,event_location,event_type,event_title,note,contributors,keywords,funders
21,"Why do some governments perform well, when the
others perform badly in the issue of development such as
poverty, welfare, public good provision, environment
and the lack of human development? Different theories
exist in the literature regarding these questions. The
main aims of book are; firstly, to discuss the debate
among scholars to frame these questions. Secondly, to
find novelty in this study so far in order to support this
thesis argument that academia has insufficiently
addressed the research question so far.",,2019-05-31 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13596,published,['JA'],public,,2019-07-31 08:30:17,pub,8,[{'url': 'http://www.aura-publishing.com'}],['FISIP3'],CV. Anugrah Utama Raharja,,disk0/00/01/35/96,680,,http://www.aura-publishing.com,2019-07-31 08:30:17,"[{'format': 'image', 'docid': 26612, 'main': 'IMG-20190716-WA0008.jpg', 'files': [{'datasetid': 'document', 'fileid': 118773, 'mime_type': 'image/jpeg', 'hash': '640f54b15e2956925250d1c5c406fb5e', 'objectid': 26612, 'filesize': 191689, 'filename': 'IMG-20190716-WA0008.jpg', 'uri': 'http://repository.lppm.unila.ac.id/id/file/118773', 'hash_type': 'MD5', 'mtime': '2019-07-18 02:42:16'}], 'language': 'en', 'mime_type': 'image/jpeg', 'rev_number': 1, 'eprintid': 13596, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26612', 'pos': 1}]",2019-07-31 08:30:17,13596,archive,show,book,"[{'id': None, 'name': {'given': 'Budi', 'family': 'Kurniawan', 'lineage': None, 'honourific': None}}, {'name': {'lineage': None, 'family': 'Cahyadi', 'honourific': None, 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]",Political Economy of Developmentfrom Global to Indonesian Context A Review of Literature,TRUE,Bandar Lampung,978-623-211-058-8,150.0,,,"References
Abrahamsen, R. (2000). Disciplining democracy:
Development discourse and good governance in Africa.
London: Zed Books.
Acemoglu, D., Johnson, S., & Robinson, J. A. (2000). The
Colonial Origins of Comparative Development: An
Empirical Investigation (No. w7771). The American
Economic Review. https://doi.org/10.1257/aer.
91.5.1369
Acemoglu, D., & Robinson, J. A. (2006). Economic Origin
of Dictatorship and Democracy. Cambridge:
Cambridge University Press Cambridge University
Press.
Acemoglu, D., & Robinson, J. A. (2012). Why Nations Fail :
The Origins of Power , Prosperity and Poverty. New
York: Crown Business. https://doi.org/10.1080/
17550912.2012.718670
Alesina, Alberto & Zhuravskaya, E. (2008). How ethnic
fragmentation undermines good governance _
VOX, CEPR‘s Policy Portal. Retrieved November 4,
2016, from http://voxeu.org/article/how-ethnicfragmentation-
undermines-good-governance

Alesina, A., Baqir, R., & Easterly, W. (1999). Public
Goods and Ethnic Divisions. The Quarterly Journal of
Economics, 114(4), 1243–1284. https://doi.org/
10.1017/CBO9781107415324.004
Alesina, A., Devleeschauwer, A., Easterly, W., Kurlat, S.,
& Wacziarg, R. (2003). Fractionalization. Journal of
Economic G, 8, 155–194. https://doi.org/10.1023
/a:1024471506938
Alesina, A., & Giuliano, P. (2015). Culture and
Institutions. Journal of Economic Literature, 53, 1–66.
https://doi.org/10.1007/s10897-010-9345-6
Alesina, A., & La Ferrara, E. (2005). Ethnic Diversity and
Economic Performance. Journal of Economic
Literature, 43(3), 762–800.
Alesina, A., & Zhuravskaya, E. (2008). Segregation and
the quality of government in a cross-section of
countries. American Economic Review, 101(5), 1872–
1911. https://doi.org/10.1257/aer.101.5.1872
Allen, N. W. (2015). Clientelism and the personal vote in
Indonesia. Electoral Studies, 37, 73–85.
https://doi.org/10.1016/j.electstud.2014.10.005
Ambrosio, T. (2012). The rise of the ―China model‖ and
―Beijing Consensus‖: evidence of authoritarian
diffusion? Contemporary Politics, 18(4), 381–99.
https://doi.org/10.1080/13569775.2012.728029",,,,,,,,"robi,cahyadi@fisip.unila.ac.id",,,,,,,,,
22,LAPORAN HASIL PENELITIAN,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/17383,published,['H1'],public,,2019-12-21 17:27:18,pub,8,,['FISIP3'],FISIP Universitas Lampung,,disk0/00/01/73/83,912,,,2019-12-23 07:20:12,"[{'format': 'text', 'main': 'Penelitian%202019.pdf', 'files': [{'filesize': 863627, 'objectid': 30520, 'filename': 'Penelitian%202019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147187', 'hash_type': 'MD5', 'mtime': '2019-12-23 07:20:12', 'datasetid': 'document', 'fileid': 147187, 'hash': 'bd82cf1cc38ddaf31f06781df3ddf263', 'mime_type': 'application/pdf'}], 'docid': 30520, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 17383, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30520'}]",2019-12-21 17:27:18,17383,archive,show,other,"[{'id': None, 'name': {'lineage': None, 'family': 'Maryanah', 'honourific': None, 'given': 'Tabah'}}, {'name': {'given': 'Feni', 'family': 'Rosalia', 'lineage': None, 'honourific': None}, 'id': 'feni.rosalia@fisip.unila.ac.id'}, {'name': {'family': 'Handayani', 'lineage': None, 'honourific': None, 'given': 'Dwi Wahyu'}, 'id': None}]",Perempuan Dalam Birokrasi Pada Pemerintah Kota Bandar Lampung,,,,,,,,['Universitas Lampung'],,,,,,,,,,,,,,,,
23,PENILAIAN SEJAWAT LAPORAN HASIL PENELITIAN,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/17386,published,['H1'],public,,2019-12-21 17:27:25,pub,7,,['FISIP3'],FISIP Universitas Lampung,,disk0/00/01/73/86,912,,,2019-12-21 17:27:25,"[{'eprintid': 17386, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30501', 'format': 'text', 'main': 'Perempuan dalam birokrasi.pdf', 'files': [{'fileid': 147093, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'd04d1a28ab91d6ff3c30a562714c5a8c', 'objectid': 30501, 'filesize': 1163281, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147093', 'filename': 'Perempuan dalam birokrasi.pdf', 'hash_type': 'MD5', 'mtime': '2019-12-21 17:16:00'}], 'docid': 30501, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2019-12-21 17:27:25,17386,archive,show,other,"[{'id': None, 'name': {'given': 'Tabah', 'lineage': None, 'family': 'Maryanah', 'honourific': None}}, {'name': {'given': 'Feni', 'honourific': None, 'lineage': None, 'family': 'Rosalia'}, 'id': 'feni.rosalia@fisip.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Handayani', 'honourific': None, 'given': 'Dwi Wahyu'}}]",Perempuan Dalam Birokrasi Pada Pemerintah Kota Bandar Lampung,,,,,,,,['Universitas Lampung'],,,,,,,,,,,,,,,,
24,"Tujuan dari penelitian ini adalah untuk membandingkan kinerja pembangunan berdasarkan Pendekatan Kemampuan Amartya Sen dari dua pemerintah daerah, Kabupaten Springwateru dan Kabupaten Lampung Barat di Provinsi Lampung. Dengan menggabungkan penelitian studi kasus deskriptif kuantitatif dan kualitatif komparatif, kami menemukan bahwa ada kontribusi masing-masing dari lembaga politik dan ekonomi dalam menentukan kinerja pembangunan di daerah ini. Pringsewu lebih baik daripada Lampung Barat dalam output ekonomi dan pengembangan manusia karena lembaga ekonomi inklusif. Di sisi lain, kedua daerah memiliki institusi politik ekstraktif yang sama dengan Pringsewuis yang relatif lebih baik dalam kategori ini. Hasil ini memperkuat teori institusi sebagai faktor kunci untuk hasil pembangunan yang lebih baik",13,2019-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21193,published,['JS'],public,1858-2400,2020-05-30 19:58:26,pub,8,[{'url': 'http://wacanapublik.stisipoldharmawacana.ac.id/index.php/wacanapublik/article/view/36/33'}],['FISIP3'],LP3M  STISIPOL Dharma Wacana,Wacana Publik,disk0/00/02/11/93,284,2.0,http://wacanapublik.stisipoldharmawacana.ac.id/index.php/wacanapublik/article/view/36,2020-05-30 19:58:26,"[{'format': 'text', 'main': 36, 'docid': 34577, 'files': [{'fileid': 197363, 'datasetid': 'document', 'hash': 'c843418908f7a9b90f3de985bf1b3698', 'mime_type': 'application/xml', 'filesize': 24997, 'objectid': 34577, 'filename': 36, 'uri': 'http://repository.lppm.unila.ac.id/id/file/197363', 'hash_type': 'MD5', 'mtime': '2020-05-30 13:40:50'}], 'content': 'accepted', 'mime_type': 'application/xml', 'language': 'id', 'rev_number': 3, 'eprintid': 21193, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34577'}]",2020-05-30 19:58:26,21193,archive,show,article,"[{'name': {'lineage': None, 'family': 'Melyansyah', 'honourific': None, 'given': 'Melyansyah'}, 'id': None}, {'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'given': 'Budi', 'honourific': None, 'lineage': None, 'family': 'Kurniawan'}}]",MENGAPA PEMBANGUNAN DAERAH GAGAL: STUDI KOMPARATIF PEMBANGNAN KABUPATEN LAMPUNG BARAT DAN KABUPATEN PRINGSEWU,FALSE,,,,97-111,,,,,,,,,,,,,,,,,,,
25,SIMILIRITY CEK,,2019-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15398,,['HN'],public,,2019-11-07 03:08:05,pub,7,,['FISIP3'],Atlantis Press,,disk0/00/01/53/98,681,,,2019-11-07 03:08:05,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'AICOSH_2019 SIMILIRITY.pdf', 'files': [{'hash': '830e80471ae83aa697c649c293ee25a1', 'mime_type': 'application/pdf', 'fileid': 132844, 'datasetid': 'document', 'mtime': '2019-11-04 11:34:11', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/132844', 'filename': 'AICOSH_2019 SIMILIRITY.pdf', 'filesize': 3618632, 'objectid': 28521}], 'docid': 28521, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28521', 'pos': 1, 'eprintid': 15398, 'placement': 1}]",2019-11-07 03:08:05,15398,archive,show,other,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'given': 'Maulana', 'lineage': None, 'family': 'Mukhlis', 'honourific': None}}]","The Urgency of Starting Condition in the
Religious De-radicalization Policy
Collaboration on the Pesantren Perspective in
Lampung Province",,,,,,,,['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung'],,,,,,,,,,,,,,,,
26,Penilaian Rekan Sejawat,,2019-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15706,published,['HN'],public,,2019-11-06 09:28:44,pub,7,,['FISIP3'],Atlantis Press,,disk0/00/01/57/06,681,,,2019-11-06 09:28:44,"[{'format': 'text', 'main': 'Review Rekan Sejawat.pdf', 'files': [{'datasetid': 'document', 'fileid': 135192, 'hash': 'bcd537e3107d7e0a2c04ee29c9f1dbfe', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-06 02:30:36', 'filesize': 1147034, 'objectid': 28827, 'filename': 'Review Rekan Sejawat.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/135192'}], 'docid': 28827, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 15706, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28827'}]",2019-11-06 09:28:44,15706,archive,show,other,"[{'name': {'lineage': None, 'family': 'Mukhlis', 'honourific': None, 'given': 'Maulana'}, 'id': 'maulanamukhlis1978@gmail.com'}]",The Urgency of Starting Condition in the Religious De-radicalization Policy Collaboration: The Pesantren Perspective in Lampung Province,,,,,,,,['Jurusan Ilmu Pemerintahan'],,,,,,,,,,,,,,,,
27,Reviewer (Penilaian Rekan Sejawat),,2019-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/31698,,"['H1', 'JA']",public,,2021-06-02 06:56:46,pub,8,,['FISIP3'],Universitas Padjajaran,,disk0/00/03/16/98,926,,,2021-06-02 06:56:46,"[{'placement': 1, 'eprintid': 31698, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/143522', 'security': 'public', 'files': [{'filename': 'Penelitian 3.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/375547', 'objectid': 143522, 'filesize': 2034882, 'mtime': '2021-06-02 06:00:49', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '8f9d479c0fe0bc16c75782fb429a48f2', 'datasetid': 'document', 'fileid': 375547}], 'main': 'Penelitian 3.pdf', 'docid': 143522, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-06-02 06:56:46,31698,archive,show,other,"[{'name': {'family': 'Mukhlis', 'lineage': None, 'honourific': None, 'given': 'Maulana'}, 'id': 'maulanamukhlis1978@gmail.com'}, {'id': 'syarief.makhya@fisip.unila.ac.id', 'name': {'given': 'Syarief', 'family': 'Makhya', 'lineage': None, 'honourific': None}}]","Reviewer : Desentralisasi Fiskal dan Implikasinya Trhadap Kinerja Otonomi Daerah Pasca Pemekaran (studi di Kab. Tulang Bawang, Kab. Tuba Barat, dan Mesuji Lampung.",,,,,,,,,,,,,,,,,,,,,,,,
28,"Starting condition is a key factor in determining the success of collaborative governance in policy implementation. Operationally, starting condition is determined by aspects of power/resource balance, trust between collaborators, various types of incentives to encourage participation, and previous history of cooperation experiences or conflict from related parties in collaboration. This research aims to provide description and confirmation concerning the extent of starting condition related to the termination of Lampung province central government displacement policy. It is descriptive research using the inductive approach. Methods of data collection used are interviews, observations, and library study. Data are being analyzed qualitatively through steps of data reduction, data presentation, and drawing conclusion. The research result shows that three out of four aspects of starting conditions are not considered in starting the collaboration process of Lampung province central government displacement policy. There are harms in the forms of imbalanced power/resource, not-wholeheartedly participations, and distrust between collaborators. A pseudo-collaboration as the implication of problems in the starting condition factors is finally confirmed to the failure of collaboration or policy implementation.",35,2019-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13486,published,['H1'],public,0215-8175,2019-07-08 05:04:25,pub,6,[{'url': 'https://ejournal.unisba.ac.id/index.php/mimbar/article/view/3667'}],['FISIP3'],Unisba Pusat Penerbitan Universitas (P2U-LPPM),Jurnal Mimbar,disk0/00/01/34/86,681,1.0,https://ejournal.unisba.ac.id/index.php/mimbar/article/view/3667,2019-07-08 05:04:25,"[{'format': 'text', 'main': '3667-17243-1-PB.pdf', 'files': [{'mtime': '2019-07-06 07:54:50', 'hash_type': 'MD5', 'filename': '3667-17243-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/117931', 'filesize': 237756, 'objectid': 26496, 'mime_type': 'application/pdf', 'hash': 'f269c71bc9da1edef440ec2d66573a39', 'fileid': 117931, 'datasetid': 'document'}], 'docid': 26496, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 13486, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26496'}]",2019-07-08 05:04:25,13486,archive,show,article,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'given': 'Maulana', 'honourific': None, 'lineage': None, 'family': 'Mukhlis'}}, {'id': None, 'name': {'lineage': None, 'family': 'Rahmatunnisa', 'honourific': None, 'given': 'Mudiyati'}}, {'id': None, 'name': {'given': 'Neneng Yani', 'lineage': None, 'family': 'Yuningsih', 'honourific': None}}]",Starting Condition Problems in Collaboration of Lampung Province Central Government Displacement Policy,TRUE,,,,1-10,,,"['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Pascasarjana FISIP Universitas Padjadjaran Bandung', 'Pascasarjana FISIP Universitas Padjadjaran Bandung']",,,,,,,,,,,,,,,,
29,"Fiscal decentralization theoretically has positive implications on economy growth, development
distribution, and efficiency. Fiscal decentralization should be a strategy to run by central government in
building good harmonious relationships between government units vertically and horizontally.
However, those implications are not yet all tested in post-administrative expansion regions, despite of
some administrative expansion objectives including economy growth improvement, development
distribution, and public welfare. This article would explain whether there were implications of fiscal
decentralization to post-administrative expansion regional autonomy in Tulang Bawang (as the origin
district to expand) and Tulang Bawang Barat and Mesuji (districts as results of administrative
expansion). This was a descriptive qualitative research based on data statistic trend analysis. The fact
showed that ten years after administrative expansion, amount of balanced fund transfer and economy
growths in these three districts after administrative expansion increased annually. Despite of fiscal
decentralization positive implications to economy growth in the origin district to expand and districts as results of administrative expansion, it was not yet able to realize regional autonomy in terms of macro-economy and fiscal health. The limitation of this research result was that the regional autonomy was only able to assess from macro-economy and fiscal health aspects, despite of other more comprehensive aspects.",5,2019-11-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/17447,published,['HJ'],public,2540-8674,2020-01-16 09:00:00,pub,6,[{'url': 'http://jurnal.unpad.ac.id/cosmogov/article/view/22803/pdf'}],['FISIP3'],"Departemen Ilmu Pemerintahan, FISIP, Universitas Padjadjaran",COSMOGOV,disk0/00/01/74/47,681,2.0,http://jurnal.unpad.ac.id/cosmogov/article/view/22803/pdf,2020-01-16 09:00:00,"[{'placement': 1, 'eprintid': 17447, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30573', 'pos': 1, 'security': 'public', 'docid': 30573, 'main': 'COSMOGOV 2019.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '6bef7dca5b3964340be861b335021da5', 'datasetid': 'document', 'fileid': 147583, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147583', 'filename': 'COSMOGOV 2019.pdf', 'objectid': 30573, 'filesize': 874316, 'mtime': '2019-12-31 10:57:10', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2020-01-16 09:00:00,17447,archive,show,article,"[{'name': {'given': 'Maulana', 'honourific': None, 'lineage': None, 'family': 'Mukhlis'}, 'id': 'maulanamukhlis1978@gmail.com'}, {'id': 'symakhya@yahoo.com', 'name': {'given': 'syarief', 'family': 'makhya', 'lineage': None, 'honourific': None}}]","IMPLIKASI DESENTRALISASI FISKAL TERHADAP
KEMANDIRIAN DAERAH PASCA PEMEKARAN
(Studi di Kabupaten Tulang Bawang, Tuba Barat, dan Mesuji

Lampung)",TRUE,,,,147-162,,,"['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Jurusan Ilmu Pemerintahan FISIP Universitas Lampung']",,,,,,,,,,,,,,,,
30,SIMILIRITY CEK,,2019-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/14985,,['HN'],none,,2019-11-04 03:02:10,unpub,7,,['FISIP3'],Universitas Lampung,,disk0/00/01/49/85,681,,,2019-11-04 03:02:10,,2019-11-04 03:02:10,14985,archive,show,other,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Mukhlis', 'given': 'Maulana'}}, {'name': {'given': 'syarief', 'lineage': None, 'family': 'makhya', 'honourific': None}, 'id': 'symakhya@yahoo.com'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Mustofa', 'given': 'Imam'}}]",The Urgency of Starting Condition in the Religious De-radicalization Policy Collaboration on the Pesantren Perspective in Lampung Province,,,,,,,,"['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Fakultas Syariah IAIN Metro']",,,,,,,,,,,,,,,,
31,PENILAIAN REKAN SEJAWAT,,2019-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/14988,,['HN'],none,,2019-11-04 01:59:58,unpub,6,,['FISIP3'],Universitas Lampung,,disk0/00/01/49/88,681,,,2019-11-04 01:59:58,,2019-11-04 01:59:58,14988,archive,show,other,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'family': 'Mukhlis', 'lineage': None, 'honourific': None, 'given': 'Maulana'}}, {'name': {'family': 'makhya', 'lineage': None, 'honourific': None, 'given': 'syarief'}, 'id': 'symakhya@yahoo.com'}, {'id': None, 'name': {'given': 'Imam', 'honourific': None, 'lineage': None, 'family': 'Mustofa'}}]",The Urgency of Starting Condition in the Religious De-radicalization Policy Collaboration on the Pesantren Perspective in Lampung Province,,,,,,,,"['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Fakultas Syariah IAIN Metro']",,,,,,,,,,,,,,,,
32,"Starting condition is one of key factors in determining the success of the policy collaboration, through the indicators of power or resource balance, incentive types, trust between collaborators, and pre-history of collaborators. The objective of this research was to provide recommendation concerning how and in what form of starting condition that should be realized in efforts of building religious de-radicalization policy model. This was a descriptive research by using inductive approach. Data were collected by in-depth interview, observation and library research. Data were analyzed qualitatively by reduction, presentation, and conclusion drawing steps. The perspective of pesantren (Islamic boarding schools) was selected because the government so far only positioned pesantren as the object of policy so that the relation model built between the government and pesantren was instructive pattern. Factually, this relationship pattern provided less positive effect to religious de-radicalization policy efficacy, especially in Lampung province. Research results showed that four basic elements of starting condition in commencing religious de-radicalization policy collaboration process could be realized by some methods. Injury in form of power or resource imbalance, not wholeheartedly participation, distrust between actors, and conflicts experienced by collaborators must be avoided. However, this starting condition was not sufficient to build pesantren based religious de-radicalization policy collaboration model. The institutional design, leadership facilitation, and optimization of collaboration process became other three key factors for building the model and the success of religious de-radicalization policy collaboration.",,2019-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13843,published,['H1'],public,,2019-08-19 03:27:26,pub,7,[{'url': 'https://www.atlantis-press.com/proceedings/aicosh-19/125916000'}],['FISIP3'],,,disk0/00/01/38/43,681,,https://www.atlantis-press.com/proceedings/aicosh-19/125916000,2019-08-19 03:27:26,"[{'eprintid': 13843, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26874', 'format': 'text', 'main': 'AICOSH 2019_compressed.pdf', 'docid': 26874, 'files': [{'hash_type': 'MD5', 'mtime': '2019-08-18 05:57:31', 'filesize': 259477, 'objectid': 26874, 'uri': 'http://repository.lppm.unila.ac.id/id/file/120829', 'filename': 'AICOSH 2019_compressed.pdf', 'datasetid': 'document', 'fileid': 120829, 'hash': '5ace77d57832386b230ab0cfd32a2061', 'mime_type': 'application/pdf'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-08-19 03:27:26,13843,archive,show,conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Mukhlis', 'given': 'Maulana'}, 'id': 'maulanamukhlis1978@gmail.com'}, {'id': 'symakhya@yahoo.com', 'name': {'honourific': None, 'family': 'makhya', 'lineage': None, 'given': 'syarief'}}, {'id': None, 'name': {'lineage': None, 'family': 'Mustofa', 'honourific': None, 'given': 'Imam'}}]",The Urgency of Starting Condition in the Religious De-radicalization Policy Collaboration: The Pesantren Perspective in Lampung Province,TRUE,,,,121-127,,,"['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Fakultas Syariah IAIN Metro']",,,,,,,,25-27 Juni 2019,speech,"Yogyakarta, Indonesia",conference,1st Annual Internatioal Conference on Social Sciences and Humanities (AICOSH 2019),,,,
33,Hasil Penilaian Sejawat,13,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/14142,published,['H1'],public,-ISSN: 1978-2098; e-ISSN: 2407-8557,2019-09-11 15:58:16,pub,6,,['FISIP3'],"center of lenguage and cultural studies, surakarta",CENDEKIA,disk0/00/01/41/42,912,1.0,,2019-09-11 15:58:16,"[{'eprintid': 14142, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27184', 'pos': 1, 'format': 'text', 'files': [{'mtime': '2019-09-11 14:25:20', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/122954', 'filename': 'kinerja pegawai.pdf', 'objectid': 27184, 'filesize': 715326, 'hash': '3939ac6817d4a252f105303464e1d3c7', 'mime_type': 'application/pdf', 'fileid': 122954, 'datasetid': 'document'}], 'main': 'kinerja pegawai.pdf', 'docid': 27184, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2019-09-11 15:58:16,14142,archive,show,article,"[{'name': {'family': 'Rosalia', 'lineage': None, 'honourific': None, 'given': 'Feni'}, 'id': 'feni.rosalia@fisip.unila.ac.id'}]",KINERJA PEGAWAI UNIVERSITAS LAMPUNG DITINJAU DARI GAYA KEPEMIMPINAN DAN MOTIVASI KERJA,TRUE,,,,,,,['Universitas Lampung'],,,,,,,,,,,,,,,,
